               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089326,            0.057216,                   0,           0.0020182,             0.16828,           0.0011805,          0.00038996,              0.0964,            0.037764,                   0,                 0.1,            0.033145,            0.033145
                   1,            0.082458,            0.057298,                   0,           0.0050951,             0.42483,           0.0064849,           0.0015873,            0.083561,            0.043472,                   0,            0.099342,             0.06582,             0.06582
                   2,            0.079827,            0.054935,                   0,                   0,                   0,                   0,                   0,             0.14038,            0.021348,                   0,            0.098024,            0.097835,            0.097835
                   3,            0.073173,            0.053357,                   0,            0.075898,            0.073793,            0.021965,           0.0047983,            0.087364,            0.043437,                   0,             0.09703,             0.09703,             0.09703
                   4,            0.065079,            0.049978,                   0,           0.0049796,            0.002069,          0.00033964,          0.00015749,            0.086984,            0.075265,                   0,             0.09703,             0.09703,             0.09703
                   5,            0.059622,            0.041612,                   0,             0.48354,             0.43655,             0.41094,             0.16881,            0.054626,            0.035112,                   0,             0.09604,             0.09604,             0.09604
                   6,            0.056972,            0.043492,                   0,             0.33916,            0.056552,            0.058837,             0.02058,            0.075332,            0.057411,                   0,             0.09505,             0.09505,             0.09505
                   7,            0.054529,            0.043014,                   0,             0.52823,             0.41172,             0.42015,             0.17405,            0.054101,            0.033405,                   0,             0.09406,             0.09406,             0.09406
                   8,            0.052858,            0.040645,                   0,             0.60605,             0.53685,             0.57592,             0.26614,            0.047743,            0.030849,                   0,             0.09307,             0.09307,             0.09307
                   9,            0.051984,            0.040399,                   0,              0.5275,             0.45581,              0.4667,             0.19247,            0.057448,            0.029747,                   0,             0.09208,             0.09208,             0.09208
                  10,            0.049663,            0.040286,                   0,             0.61782,             0.51034,             0.57417,             0.27605,            0.048282,            0.030001,                   0,             0.09109,             0.09109,             0.09109
                  11,            0.048878,            0.038912,                   0,             0.60544,             0.54207,              0.5772,             0.21852,            0.049731,            0.026732,                   0,              0.0901,              0.0901,              0.0901
                  12,            0.048336,            0.038021,                   0,             0.64565,             0.60345,             0.64088,             0.30994,            0.044329,            0.027368,                   0,             0.08911,             0.08911,             0.08911
                  13,            0.047796,            0.037981,                   0,             0.58681,             0.48091,             0.50714,             0.20667,            0.050903,            0.032684,                   0,             0.08812,             0.08812,             0.08812
                  14,             0.04741,            0.036226,                   0,              0.6607,             0.58966,             0.64736,              0.3225,            0.043346,              0.0272,                   0,             0.08713,             0.08713,             0.08713
                  15,            0.047163,            0.036609,                   0,             0.63351,             0.56276,             0.61731,             0.31313,            0.044052,            0.028015,                   0,             0.08614,             0.08614,             0.08614
                  16,            0.045542,            0.037674,                   0,             0.65133,             0.61103,             0.67638,             0.34491,            0.042525,            0.026482,                   0,             0.08515,             0.08515,             0.08515
                  17,            0.045235,            0.036128,                   0,             0.65881,             0.58828,              0.6601,             0.34361,            0.042504,            0.026718,                   0,             0.08416,             0.08416,             0.08416
                  18,            0.044228,            0.034856,                   0,             0.62858,             0.55379,             0.59928,             0.26051,            0.047965,            0.028455,                   0,             0.08317,             0.08317,             0.08317
                  19,            0.044602,            0.034886,                   0,             0.67104,             0.55448,             0.61271,             0.27868,            0.046796,             0.02856,                   0,             0.08218,             0.08218,             0.08218
                  20,            0.043109,            0.034104,                   0,             0.66779,             0.60759,             0.68128,             0.33132,            0.043165,             0.02766,                   0,             0.08119,             0.08119,             0.08119
                  21,             0.04371,            0.034626,                   0,              0.6885,             0.60276,             0.68148,             0.33031,            0.043133,            0.025606,                   0,              0.0802,              0.0802,              0.0802
                  22,            0.043956,            0.035916,                   0,             0.68719,             0.63379,             0.69776,             0.35347,             0.04136,            0.025266,                   0,             0.07921,             0.07921,             0.07921
                  23,            0.042668,            0.034632,                   0,              0.6801,             0.65034,             0.71173,             0.37868,            0.039934,            0.025043,                   0,             0.07822,             0.07822,             0.07822
                  24,            0.043306,            0.035811,                   0,             0.71028,             0.65034,             0.72295,             0.36994,             0.04123,            0.024593,                   0,             0.07723,             0.07723,             0.07723
                  25,            0.041653,            0.034574,                   0,             0.70334,             0.66828,             0.72612,             0.38274,            0.039466,             0.02475,                   0,             0.07624,             0.07624,             0.07624
                  26,            0.042541,            0.033758,                   0,             0.70814,             0.64345,             0.72759,             0.34918,            0.041322,            0.024578,                   0,             0.07525,             0.07525,             0.07525
                  27,            0.041567,            0.034418,                   0,             0.66462,             0.59587,             0.67131,             0.33157,            0.042637,            0.027594,                   0,             0.07426,             0.07426,             0.07426
                  28,             0.04175,            0.034342,                   0,             0.69263,             0.64621,             0.70966,             0.38959,            0.039171,            0.025461,                   0,             0.07327,             0.07327,             0.07327
                  29,            0.041257,            0.033726,                   0,             0.72021,             0.60715,              0.6886,             0.37298,            0.040056,            0.026807,                   0,             0.07228,             0.07228,             0.07228
                  30,            0.041268,            0.033304,                   0,             0.65262,             0.60894,             0.66136,              0.3014,             0.04511,            0.027712,                   0,             0.07129,             0.07129,             0.07129
                  31,            0.040509,            0.032303,                   0,             0.69988,             0.66966,             0.74474,             0.39405,            0.038717,            0.024227,                   0,              0.0703,              0.0703,              0.0703
                  32,            0.040159,            0.032487,                   0,             0.68884,             0.67517,             0.73496,             0.38859,             0.04002,            0.024439,                   0,             0.06931,             0.06931,             0.06931
