               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.047325,           0.0066826,                   0,             0.22552,             0.31098,             0.13872,            0.050709,             0.05413,           0.0053458,                   0,                 0.1,            0.032796,            0.032796
                   1,            0.055821,           0.0058944,                   0,             0.22886,              0.2622,             0.14235,            0.055297,            0.067428,            0.005019,                   0,            0.099345,            0.065474,            0.065474
                   2,            0.055748,           0.0052628,                   0,             0.20033,            0.073171,             0.03715,            0.013004,            0.073659,           0.0061742,                   0,            0.098031,            0.097493,            0.097493
                   3,            0.065634,           0.0067161,                   0,           0.0010246,            0.067073,          0.00060613,          0.00018673,            0.092538,           0.0057405,                   0,             0.09703,             0.09703,             0.09703
                   4,            0.066155,           0.0076285,                   0,              0.0858,            0.085366,            0.030865,            0.010076,            0.072309,            0.005233,                   0,             0.09703,             0.09703,             0.09703
                   5,            0.064177,           0.0056265,                   0,           0.0046729,            0.042683,           0.0014828,           0.0004968,            0.079681,            0.005412,                   0,             0.09604,             0.09604,             0.09604
                   6,            0.063265,           0.0066178,                   0,             0.10916,            0.030488,            0.016332,           0.0055979,            0.073048,           0.0057794,                   0,             0.09505,             0.09505,             0.09505
                   7,            0.064077,            0.006722,                   0,            0.018386,            0.012195,           0.0028094,          0.00074238,            0.082437,           0.0046824,                   0,             0.09406,             0.09406,             0.09406
                   8,            0.065684,            0.006769,                   0,            0.056534,            0.036585,            0.011694,           0.0046615,            0.085728,           0.0046123,                   0,             0.09307,             0.09307,             0.09307
                   9,            0.060018,           0.0061899,                   0,             0.07348,             0.12195,            0.026464,           0.0085649,            0.065966,           0.0048103,                   0,             0.09208,             0.09208,             0.09208
                  10,            0.061511,           0.0061894,                   0,               0.238,             0.16463,             0.10712,            0.039021,            0.063037,           0.0052016,                   0,             0.09109,             0.09109,             0.09109
                  11,            0.060232,           0.0059258,                   0,             0.16431,             0.12195,            0.074145,            0.027374,            0.069415,           0.0047708,                   0,              0.0901,              0.0901,              0.0901
                  12,            0.060393,           0.0066965,                   0,             0.17049,             0.14024,            0.066688,            0.020163,             0.06356,           0.0048586,                   0,             0.08911,             0.08911,             0.08911
                  13,            0.055844,           0.0067533,                   0,             0.05904,            0.096415,               0.025,           0.0096048,            0.068312,           0.0047933,                   0,             0.08812,             0.08812,             0.08812
                  14,            0.060859,           0.0062736,                   0,             0.13334,             0.13415,            0.047858,            0.020965,            0.063415,           0.0047495,                   0,             0.08713,             0.08713,             0.08713
                  15,            0.057786,           0.0068069,                   0,             0.18076,             0.19512,            0.090999,            0.034334,             0.05723,            0.004669,                   0,             0.08614,             0.08614,             0.08614
                  16,            0.056424,           0.0061171,                   0,             0.14202,             0.18293,            0.065441,            0.026131,            0.061295,           0.0047563,                   0,             0.08515,             0.08515,             0.08515
                  17,             0.05948,           0.0072658,                   0,             0.15674,             0.18293,            0.074155,             0.03127,            0.063285,           0.0046403,                   0,             0.08416,             0.08416,             0.08416
                  18,            0.059579,           0.0061712,                   0,             0.17771,             0.17683,            0.094413,            0.038611,            0.053992,           0.0049163,                   0,             0.08317,             0.08317,             0.08317
                  19,            0.056404,           0.0070719,                   0,             0.16462,              0.2378,             0.11346,            0.042713,              0.0523,           0.0047001,                   0,             0.08218,             0.08218,             0.08218
                  20,            0.052749,           0.0060301,                   0,             0.18311,             0.26829,             0.10729,            0.044449,            0.053273,           0.0046791,                   0,             0.08119,             0.08119,             0.08119
