               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.16651,           0.0043197,                   0,          0.00029304,            0.087912,          0.00018663,          0.00012984,             0.15063,           0.0026177,                   0,                 0.1,               0.026,               0.026
                   1,             0.15521,            0.004465,                   0,                   0,                   0,                   0,                   0,             0.14889,           0.0025358,                   0,            0.099825,            0.052825,            0.052825
                   2,             0.14855,           0.0042671,                   0,                   0,                   0,                   0,                   0,             0.14575,           0.0023521,                   0,            0.099472,            0.079472,            0.079472
                   3,             0.14499,           0.0039438,                   0,                   0,                   0,                   0,                   0,             0.14303,           0.0024031,                   0,             0.09901,             0.09901,             0.09901
                   4,             0.14364,           0.0038017,                   0,                   0,                   0,                   0,                   0,             0.15972,           0.0017005,                   0,             0.09901,             0.09901,             0.09901
                   5,             0.14277,           0.0034981,                   0,                   0,                   0,                   0,                   0,             0.14192,           0.0023506,                   0,             0.09868,             0.09868,             0.09868
                   6,             0.14296,            0.003485,                   0,                   0,                   0,                   0,                   0,             0.14161,           0.0023202,                   0,             0.09835,             0.09835,             0.09835
                   7,             0.14384,            0.002965,                   0,          3.7276e-05,            0.010989,          1.8855e-05,          1.8855e-06,             0.14169,             0.00217,                   0,             0.09802,             0.09802,             0.09802
                   8,             0.14319,            0.003358,                   0,                   0,                   0,                   0,                   0,             0.14166,           0.0019346,                   0,             0.09769,             0.09769,             0.09769
                   9,             0.14358,           0.0030324,                   0,                   0,                   0,                   0,                   0,             0.14049,            0.002006,                   0,             0.09736,             0.09736,             0.09736
                  10,             0.14257,           0.0031995,                   0,          4.1561e-05,            0.010989,          2.2375e-05,          2.2375e-06,             0.13988,           0.0020262,                   0,             0.09703,             0.09703,             0.09703
                  11,             0.14277,           0.0030503,                   0,          4.0987e-05,            0.010989,          2.7969e-05,          2.7969e-06,             0.14051,           0.0019759,                   0,              0.0967,              0.0967,              0.0967
                  12,             0.14224,           0.0032049,                   0,                   0,                   0,                   0,                   0,             0.13982,           0.0020736,                   0,             0.09637,             0.09637,             0.09637
                  13,             0.14233,           0.0032428,                   0,          4.0056e-05,            0.010989,          2.3304e-05,          4.6608e-06,             0.14002,           0.0020133,                   0,             0.09604,             0.09604,             0.09604
                  14,             0.14227,           0.0031112,                   0,                   0,                   0,                   0,                   0,             0.14011,           0.0019588,                   0,             0.09571,             0.09571,             0.09571
                  15,             0.14277,           0.0029163,                   0,                   0,                   0,                   0,                   0,             0.14027,           0.0019281,                   0,             0.09538,             0.09538,             0.09538
                  16,             0.14214,           0.0030145,                   0,                   0,                   0,                   0,                   0,              0.1406,           0.0020139,                   0,             0.09505,             0.09505,             0.09505
                  17,             0.14136,           0.0031924,                   0,                   0,                   0,                   0,                   0,             0.14075,           0.0020479,                   0,             0.09472,             0.09472,             0.09472
                  18,             0.14263,           0.0029379,                   0,                   0,                   0,                   0,                   0,             0.14021,           0.0020646,                   0,             0.09439,             0.09439,             0.09439
                  19,             0.14158,           0.0031796,                   0,                   0,                   0,                   0,                   0,             0.13982,           0.0020295,                   0,             0.09406,             0.09406,             0.09406
                  20,              0.1418,           0.0030669,                   0,                   0,                   0,                   0,                   0,             0.14074,           0.0022466,                   0,             0.09373,             0.09373,             0.09373
                  21,             0.14156,           0.0031464,                   0,                   0,                   0,                   0,                   0,             0.14004,           0.0020814,                   0,              0.0934,              0.0934,              0.0934
                  22,             0.14225,           0.0031022,                   0,          0.00012166,            0.032967,          7.0447e-05,          7.0447e-06,             0.14068,           0.0020135,                   0,             0.09307,             0.09307,             0.09307
                  23,             0.14244,           0.0029806,                   0,          3.7525e-05,            0.010989,          1.9388e-05,          1.9388e-06,             0.14088,           0.0019245,                   0,             0.09274,             0.09274,             0.09274
                  24,             0.14139,           0.0030596,                   0,          7.8284e-05,            0.021978,          4.1442e-05,          6.1399e-06,             0.14016,           0.0020306,                   0,             0.09241,             0.09241,             0.09241
                  25,             0.14133,           0.0031243,                   0,          0.00011924,            0.032967,          6.2663e-05,          8.2908e-06,             0.14217,           0.0019442,                   0,             0.09208,             0.09208,             0.09208
                  26,             0.14202,           0.0029609,                   0,           3.882e-05,            0.010989,          2.0692e-05,          2.0692e-06,             0.14107,           0.0020013,                   0,             0.09175,             0.09175,             0.09175
                  27,             0.14196,           0.0029367,                   0,          0.00012589,            0.032967,            6.75e-05,           1.321e-05,              0.1416,           0.0019584,                   0,             0.09142,             0.09142,             0.09142
                  28,             0.14268,           0.0028694,                   0,          4.0101e-05,            0.010989,          2.1956e-05,          4.3912e-06,             0.14088,           0.0019668,                   0,             0.09109,             0.09109,             0.09109
                  29,             0.14185,           0.0030416,                   0,          8.1202e-05,            0.021978,          4.8438e-05,          4.8438e-06,              0.1405,           0.0019073,                   0,             0.09076,             0.09076,             0.09076
                  30,             0.14211,           0.0030846,                   0,          0.00022435,            0.054945,          0.00012237,          1.6869e-05,             0.13888,           0.0021653,                   0,             0.09043,             0.09043,             0.09043
                  31,             0.14267,            0.002859,                   0,                   0,                   0,                   0,                   0,             0.14162,           0.0019246,                   0,              0.0901,              0.0901,              0.0901
                  32,             0.14136,           0.0031329,                   0,          8.5255e-05,            0.021978,          4.5603e-05,          4.5603e-06,             0.14057,           0.0019594,                   0,             0.08977,             0.08977,             0.08977
                  33,             0.14155,           0.0029533,                   0,                   0,                   0,                   0,                   0,             0.13952,           0.0023319,                   0,             0.08944,             0.08944,             0.08944
                  34,             0.14213,           0.0027772,                   0,          0.00016788,            0.043956,          9.0152e-05,          1.3486e-05,             0.13933,           0.0021171,                   0,             0.08911,             0.08911,             0.08911
                  35,             0.14119,            0.003012,                   0,          0.00030534,            0.065934,          0.00017893,          2.0816e-05,             0.14041,           0.0019301,                   0,             0.08878,             0.08878,             0.08878
                  36,             0.14154,            0.002897,                   0,          0.00017595,            0.032967,          9.7169e-05,          1.5699e-05,             0.13918,           0.0020342,                   0,             0.08845,             0.08845,             0.08845
                  37,             0.14136,           0.0029463,                   0,          0.00037353,            0.065934,          0.00026037,          2.6037e-05,             0.13713,           0.0021686,                   0,             0.08812,             0.08812,             0.08812
                  38,             0.14133,           0.0029301,                   0,          0.00037656,            0.087912,          0.00027651,          3.7869e-05,             0.13953,           0.0018916,                   0,             0.08779,             0.08779,             0.08779
                  39,             0.14022,           0.0031536,                   0,           0.0002972,            0.087912,          0.00026717,          2.9128e-05,             0.13972,            0.002235,                   0,             0.08746,             0.08746,             0.08746
                  40,             0.14088,            0.003018,                   0,          0.00038166,            0.076923,          0.00023773,          3.9536e-05,             0.13789,           0.0021861,                   0,             0.08713,             0.08713,             0.08713
                  41,             0.14161,           0.0028992,                   0,          0.00020747,            0.054945,          0.00021993,           2.457e-05,             0.13808,           0.0021177,                   0,              0.0868,              0.0868,              0.0868
                  42,             0.14079,           0.0030345,                   0,          0.00047109,             0.12088,          0.00045304,          6.1735e-05,             0.13738,           0.0021406,                   0,             0.08647,             0.08647,             0.08647
                  43,             0.14089,           0.0028278,                   0,          0.00052071,             0.12088,           0.0012101,          0.00015367,             0.13959,           0.0019681,                   0,             0.08614,             0.08614,             0.08614
                  44,             0.13985,           0.0031173,                   0,          0.00053545,             0.13187,           0.0019214,          0.00022232,             0.13875,           0.0020199,                   0,             0.08581,             0.08581,             0.08581
                  45,             0.14023,           0.0030654,                   0,          0.00099774,             0.20879,           0.0030141,          0.00067712,             0.13787,           0.0020645,                   0,             0.08548,             0.08548,             0.08548
                  46,             0.13996,           0.0031703,                   0,           0.0010043,             0.17582,           0.0012062,          0.00016197,             0.13634,           0.0021261,                   0,             0.08515,             0.08515,             0.08515
                  47,             0.13855,           0.0032759,                   0,          0.00089922,             0.15385,           0.0014264,          0.00021935,             0.13507,           0.0020937,                   0,             0.08482,             0.08482,             0.08482
                  48,                0.14,            0.002984,                   0,           0.0013346,             0.18681,           0.0024344,          0.00041703,             0.13225,           0.0022813,                   0,             0.08449,             0.08449,             0.08449
                  49,              0.1403,           0.0030127,                   0,          0.00093387,             0.17582,          0.00081153,          0.00020382,             0.13377,           0.0025226,                   0,             0.08416,             0.08416,             0.08416
                  50,             0.14052,            0.003023,                   0,          0.00090721,              0.1978,           0.0012316,          0.00026578,             0.13532,           0.0025892,                   0,             0.08383,             0.08383,             0.08383
                  51,             0.13932,           0.0031172,                   0,           0.0011608,             0.18681,           0.0034692,           0.0010166,             0.13527,            0.002397,                   0,              0.0835,              0.0835,              0.0835
                  52,              0.1388,           0.0033848,                   0,          0.00086688,             0.17582,           0.0011459,          0.00021643,             0.13873,           0.0023515,                   0,             0.08317,             0.08317,             0.08317
                  53,               0.139,           0.0032804,                   0,           0.0016984,             0.34066,           0.0034231,          0.00096809,             0.13795,           0.0026108,                   0,             0.08284,             0.08284,             0.08284
                  54,             0.14014,           0.0032354,                   0,           0.0047252,             0.24176,           0.0036719,          0.00063688,             0.14333,           0.0019938,                   0,             0.08251,             0.08251,             0.08251
                  55,             0.13909,           0.0031446,                   0,           0.0016461,             0.24176,           0.0015511,          0.00045239,             0.13926,            0.002424,                   0,             0.08218,             0.08218,             0.08218
                  56,             0.13754,           0.0035538,                   0,            0.002015,             0.23077,           0.0018459,          0.00071556,             0.13859,           0.0022977,                   0,             0.08185,             0.08185,             0.08185
                  57,             0.13959,            0.003217,                   0,           0.0012373,              0.1978,           0.0011027,          0.00035118,             0.14094,           0.0022051,                   0,             0.08152,             0.08152,             0.08152
                  58,             0.13766,           0.0035039,                   0,            0.014535,             0.15385,            0.011709,           0.0018285,             0.13191,           0.0026557,                   0,             0.08119,             0.08119,             0.08119
                  59,             0.13807,           0.0034031,                   0,           0.0010588,             0.23077,          0.00092799,          0.00024015,             0.13857,           0.0022794,                   0,             0.08086,             0.08086,             0.08086
                  60,             0.13841,           0.0034314,                   0,           0.0012989,             0.15385,            0.001474,          0.00021712,             0.13399,           0.0025164,                   0,             0.08053,             0.08053,             0.08053
                  61,             0.13939,           0.0032588,                   0,           0.0012187,             0.20879,           0.0031012,          0.00056331,             0.13496,           0.0021207,                   0,              0.0802,              0.0802,              0.0802
                  62,               0.138,           0.0034116,                   0,           0.0014442,             0.18681,           0.0061382,          0.00079005,             0.13252,           0.0021965,                   0,             0.07987,             0.07987,             0.07987
                  63,             0.13894,           0.0032137,                   0,           0.0014309,             0.21978,           0.0033945,          0.00067312,             0.13195,           0.0022339,                   0,             0.07954,             0.07954,             0.07954
                  64,             0.13796,             0.00354,                   0,           0.0014006,             0.27473,           0.0031493,          0.00095622,             0.12913,           0.0025474,                   0,             0.07921,             0.07921,             0.07921
                  65,             0.13743,            0.003467,                   0,            0.020262,             0.14286,           0.0058539,           0.0010484,             0.13023,           0.0025376,                   0,             0.07888,             0.07888,             0.07888
                  66,             0.13886,           0.0032899,                   0,          0.00075597,             0.16484,           0.0047262,          0.00052881,              0.1342,           0.0022196,                   0,             0.07855,             0.07855,             0.07855
                  67,             0.13742,           0.0035082,                   0,           0.0015154,             0.21978,           0.0029143,           0.0006037,             0.13041,           0.0028004,                   0,             0.07822,             0.07822,             0.07822
                  68,             0.13744,           0.0035201,                   0,            0.017403,             0.23077,           0.0073114,           0.0014012,             0.12733,           0.0028056,                   0,             0.07789,             0.07789,             0.07789
                  69,             0.13787,           0.0035416,                   0,           0.0015679,             0.20879,           0.0030851,          0.00077227,             0.12968,           0.0026579,                   0,             0.07756,             0.07756,             0.07756
