               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08827,             0.05732,                   0,           0.0032093,             0.26759,            0.002156,          0.00057618,            0.083765,            0.042245,                   0,                 0.1,            0.033145,            0.033145
                   1,              0.0785,            0.054646,                   0,            0.017098,            0.053103,           0.0053684,           0.0011725,            0.087638,             0.04146,                   0,            0.098684,            0.065162,            0.065162
                   2,            0.073998,            0.051611,                   0,            0.054954,            0.051724,            0.013169,           0.0034673,            0.081966,            0.042097,                   0,            0.096047,            0.095859,            0.095859
                   3,             0.06651,            0.047935,                   0,             0.26863,             0.25103,             0.16542,            0.047075,            0.069316,            0.039122,                   0,             0.09406,             0.09406,             0.09406
                   4,            0.060133,            0.045719,                   0,             0.33925,              0.2291,             0.19187,            0.077571,            0.067845,            0.039065,                   0,             0.09406,             0.09406,             0.09406
                   5,            0.055835,             0.03853,                   0,             0.48768,             0.34006,             0.33474,             0.14677,             0.05975,            0.039451,                   0,             0.09208,             0.09208,             0.09208
                   6,            0.053468,            0.040305,                   0,             0.46557,             0.38414,             0.35162,              0.1558,            0.058268,            0.039004,                   0,              0.0901,              0.0901,              0.0901
                   7,            0.050817,            0.038559,                   0,             0.59628,             0.54069,             0.55891,              0.2721,            0.046763,             0.03012,                   0,             0.08812,             0.08812,             0.08812
                   8,            0.050007,            0.037903,                   0,             0.55828,             0.48897,             0.49034,             0.24028,            0.049798,            0.032947,                   0,             0.08614,             0.08614,             0.08614
                   9,            0.049172,            0.037745,                   0,             0.63881,             0.53034,              0.5842,               0.264,            0.049173,            0.027405,                   0,             0.08416,             0.08416,             0.08416
                  10,            0.047926,            0.037789,                   0,             0.61783,             0.54483,             0.57904,             0.27085,            0.049318,            0.027469,                   0,             0.08218,             0.08218,             0.08218
                  11,            0.046597,            0.036473,                   0,             0.65507,             0.57379,             0.61179,             0.31113,            0.046335,            0.028326,                   0,              0.0802,              0.0802,              0.0802
                  12,            0.045969,            0.035842,                   0,             0.63913,             0.53448,             0.60942,             0.29268,            0.044837,            0.029256,                   0,             0.07822,             0.07822,             0.07822
                  13,            0.045997,            0.036025,                   0,             0.62037,             0.59167,             0.63055,             0.26772,            0.045716,            0.026789,                   0,             0.07624,             0.07624,             0.07624
                  14,            0.045217,             0.03427,                   0,             0.64901,             0.62138,             0.66818,             0.34741,            0.042106,            0.026106,                   0,             0.07426,             0.07426,             0.07426
                  15,            0.044747,            0.034647,                   0,             0.64447,             0.64276,             0.68224,             0.36067,             0.04108,            0.026029,                   0,             0.07228,             0.07228,             0.07228
                  16,            0.043131,            0.035904,                   0,             0.62592,             0.53889,             0.58177,             0.30573,            0.045876,            0.031427,                   0,              0.0703,              0.0703,              0.0703
                  17,            0.042953,            0.034346,                   0,              0.6522,              0.6069,             0.66682,             0.30946,            0.045234,             0.02631,                   0,             0.06832,             0.06832,             0.06832
                  18,            0.042239,            0.033509,                   0,              0.6531,             0.59862,             0.65529,              0.3054,            0.044473,            0.026705,                   0,             0.06634,             0.06634,             0.06634
                  19,            0.041281,            0.033341,                   0,             0.72465,             0.64978,             0.72326,             0.39153,            0.039655,            0.024952,                   0,             0.06436,             0.06436,             0.06436
                  20,            0.040914,            0.032569,                   0,             0.75284,             0.66345,             0.74865,             0.38378,            0.039653,            0.024092,                   0,             0.06238,             0.06238,             0.06238
                  21,            0.040719,            0.032933,                   0,             0.71834,             0.64199,             0.71944,             0.37571,            0.040591,            0.024416,                   0,              0.0604,              0.0604,              0.0604
                  22,            0.040593,            0.034046,                   0,             0.71288,             0.69864,             0.74451,             0.39035,            0.039406,            0.024152,                   0,             0.05842,             0.05842,             0.05842
                  23,            0.040549,            0.032965,                   0,             0.69308,             0.64942,              0.7097,             0.35807,            0.041937,            0.025048,                   0,             0.05644,             0.05644,             0.05644
                  24,            0.040363,             0.03396,                   0,             0.76022,             0.66276,             0.75243,             0.41151,            0.037888,            0.023854,                   0,             0.05446,             0.05446,             0.05446
                  25,            0.038632,            0.032887,                   0,             0.72537,             0.68621,             0.75442,             0.41787,             0.03771,             0.02398,                   0,             0.05248,             0.05248,             0.05248
                  26,            0.039489,            0.032282,                   0,             0.70173,             0.67499,             0.72657,             0.36648,            0.040755,            0.024479,                   0,              0.0505,              0.0505,              0.0505
                  27,            0.038774,            0.032603,                   0,             0.67768,              0.6264,             0.68884,             0.31777,            0.043648,            0.025942,                   0,             0.04852,             0.04852,             0.04852
                  28,            0.038807,            0.032761,                   0,              0.6763,             0.63103,             0.69245,             0.34824,            0.041872,            0.028202,                   0,             0.04654,             0.04654,             0.04654
                  29,            0.038053,            0.032108,                   0,             0.69821,             0.64621,             0.70083,             0.37737,            0.040763,            0.026587,                   0,             0.04456,             0.04456,             0.04456
                  30,            0.037498,            0.031448,                   0,              0.7279,             0.69186,             0.75638,             0.41121,            0.037692,            0.023736,                   0,             0.04258,             0.04258,             0.04258
                  31,            0.037019,            0.030723,                   0,              0.7058,                0.72,             0.76495,             0.42992,            0.036338,            0.023362,                   0,              0.0406,              0.0406,              0.0406
                  32,            0.036546,            0.030721,                   0,             0.72337,             0.68889,             0.75323,             0.41171,            0.038155,            0.024308,                   0,             0.03862,             0.03862,             0.03862
                  33,            0.037378,            0.033102,                   0,             0.73417,             0.68568,             0.76527,             0.38576,            0.039169,            0.023258,                   0,             0.03664,             0.03664,             0.03664
                  34,            0.036534,            0.029081,                   0,             0.71457,              0.7069,             0.76082,             0.41154,            0.037482,             0.02349,                   0,             0.03466,             0.03466,             0.03466
                  35,            0.036364,             0.03049,                   0,              0.7109,             0.69724,              0.7526,             0.40691,            0.037719,            0.025449,                   0,             0.03268,             0.03268,             0.03268
                  36,            0.036082,            0.031409,                   0,             0.72405,             0.71655,             0.77124,             0.43585,            0.036321,            0.023214,                   0,              0.0307,              0.0307,              0.0307
