               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088265,            0.057295,                   0,           0.0028619,             0.23862,           0.0021516,          0.00055648,            0.082399,            0.043711,                   0,                 0.1,            0.033145,            0.033145
                   1,            0.079678,             0.05569,                   0,            0.016798,            0.053793,            0.005234,           0.0013547,            0.087051,            0.052219,                   0,            0.099342,             0.06582,             0.06582
                   2,            0.073987,            0.053667,                   0,           0.0019973,            0.094483,           0.0014951,          0.00032561,             0.11714,            0.034554,                   0,            0.098024,            0.097835,            0.097835
                   3,            0.068831,            0.048893,                   0,             0.13314,             0.12213,            0.048088,            0.014075,             0.07612,            0.042084,                   0,             0.09703,             0.09703,             0.09703
                   4,            0.063576,            0.047145,                   0,             0.35109,             0.31655,               0.249,            0.092938,            0.065104,            0.042598,                   0,             0.09703,             0.09703,             0.09703
                   5,            0.057623,            0.039835,                   0,             0.45044,             0.42276,             0.38877,             0.17074,            0.055479,            0.035758,                   0,             0.09604,             0.09604,             0.09604
                   6,            0.054873,            0.042878,                   0,             0.41688,             0.34207,             0.30164,             0.12205,            0.055897,             0.03827,                   0,             0.09505,             0.09505,             0.09505
                   7,            0.053056,            0.040239,                   0,             0.45469,             0.39103,             0.35799,             0.15739,            0.055128,            0.037681,                   0,             0.09406,             0.09406,             0.09406
                   8,            0.051665,            0.039572,                   0,             0.59013,             0.55379,             0.56583,             0.27071,            0.047158,            0.029034,                   0,             0.09307,             0.09307,             0.09307
                   9,            0.050918,            0.039267,                   0,             0.56602,             0.44164,             0.46571,             0.19824,            0.053826,            0.033908,                   0,             0.09208,             0.09208,             0.09208
                  10,            0.048662,            0.038918,                   0,             0.67305,             0.53381,             0.61114,             0.28376,            0.047704,            0.027188,                   0,             0.09109,             0.09109,             0.09109
                  11,            0.048002,            0.037685,                   0,             0.66504,             0.57655,             0.63363,             0.28575,             0.04683,            0.026725,                   0,              0.0901,              0.0901,              0.0901
                  12,            0.047377,            0.037206,                   0,             0.63003,             0.42483,             0.48739,             0.22623,            0.049311,            0.033156,                   0,             0.08911,             0.08911,             0.08911
                  13,            0.046542,            0.037384,                   0,             0.67294,             0.49931,             0.58355,             0.27708,            0.046233,            0.029143,                   0,             0.08812,             0.08812,             0.08812
                  14,            0.046224,            0.035507,                   0,             0.56969,              0.5131,             0.53378,             0.24976,            0.047808,            0.031809,                   0,             0.08713,             0.08713,             0.08713
