               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089391,            0.056991,                   0,           0.0024318,             0.20276,            0.001485,            0.000353,            0.083251,            0.042969,                   0,                 0.1,            0.033145,            0.033145
                   1,            0.082287,            0.057246,                   0,           0.0037469,             0.31241,           0.0037181,           0.0011575,            0.081467,            0.043056,                   0,            0.098684,            0.065162,            0.065162
                   2,            0.077191,            0.056577,                   0,          0.00025147,           0.0075862,           0.0001267,          3.6841e-05,             0.11705,            0.038089,                   0,            0.096047,            0.095859,            0.095859
                   3,             0.07046,            0.053142,                   0,            0.054176,            0.065517,            0.016332,           0.0038696,            0.091136,            0.045714,                   0,             0.09406,             0.09406,             0.09406
                   4,            0.065085,            0.048631,                   0,             0.19326,             0.15893,            0.089743,            0.026845,            0.075315,            0.039192,                   0,             0.09406,             0.09406,             0.09406
                   5,            0.059895,            0.041526,                   0,             0.25082,             0.25103,             0.17369,            0.070238,            0.063086,            0.040842,                   0,             0.09208,             0.09208,             0.09208
                   6,            0.056751,            0.043164,                   0,             0.43769,             0.39448,             0.33844,             0.15247,            0.054862,            0.034549,                   0,              0.0901,              0.0901,              0.0901
                   7,            0.053384,            0.041422,                   0,             0.55908,                 0.5,             0.51865,             0.24293,            0.048361,            0.030247,                   0,             0.08812,             0.08812,             0.08812
                   8,            0.052019,            0.040201,                   0,             0.43048,             0.37586,             0.34984,             0.15587,            0.054699,            0.035359,                   0,             0.08614,             0.08614,             0.08614
                   9,            0.051171,            0.039859,                   0,             0.53307,             0.51931,             0.52071,             0.23748,            0.049831,            0.028961,                   0,             0.08416,             0.08416,             0.08416
                  10,            0.049502,            0.039707,                   0,             0.64219,             0.57517,             0.63466,             0.32497,            0.044968,            0.028502,                   0,             0.08218,             0.08218,             0.08218
                  11,             0.04743,            0.038261,                   0,             0.66029,             0.54289,             0.61271,              0.2719,            0.047682,             0.02792,                   0,              0.0802,              0.0802,              0.0802
                  12,            0.047267,            0.037569,                   0,              0.5617,             0.47815,             0.50055,             0.23386,             0.05075,            0.033409,                   0,             0.07822,             0.07822,             0.07822
                  13,            0.046833,            0.037605,                   0,             0.62168,             0.56438,             0.61095,             0.24037,             0.04844,            0.027338,                   0,             0.07624,             0.07624,             0.07624
                  14,             0.04619,            0.035843,                   0,             0.59207,             0.49586,             0.52749,             0.25336,            0.049409,             0.03046,                   0,             0.07426,             0.07426,             0.07426
