               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087475,            0.057519,                   0,           0.0031596,             0.26345,           0.0020841,          0.00059137,             0.08428,            0.043563,                   0,                 0.1,            0.033145,            0.033145
                   1,            0.079147,            0.056138,                   0,          4.2356e-05,           0.0034483,          2.1286e-05,          4.2677e-06,             0.11426,            0.028292,                   0,            0.098684,            0.065162,            0.065162
                   2,            0.074198,            0.054107,                   0,          0.00061208,            0.051034,          0.00032825,          0.00013454,             0.08787,            0.047613,                   0,            0.096047,            0.095859,            0.095859
                   3,            0.068677,            0.052191,                   0,             0.12935,             0.12897,            0.048467,            0.014606,            0.080392,            0.041226,                   0,             0.09406,             0.09406,             0.09406
                   4,             0.06223,             0.04693,                   0,             0.46512,             0.39862,             0.37174,             0.15181,            0.057193,            0.035024,                   0,             0.09406,             0.09406,             0.09406
                   5,            0.057698,            0.039614,                   0,             0.50715,             0.42276,             0.41716,             0.19324,            0.054759,            0.036444,                   0,             0.09208,             0.09208,             0.09208
                   6,            0.054624,            0.042022,                   0,             0.47602,             0.43379,             0.40581,             0.16886,             0.05289,            0.032575,                   0,              0.0901,              0.0901,              0.0901
                   7,            0.051648,            0.039851,                   0,             0.58749,             0.47655,             0.51604,             0.24254,            0.047353,             0.03004,                   0,             0.08812,             0.08812,             0.08812
                   8,            0.050823,            0.039179,                   0,             0.63996,             0.58483,             0.62795,             0.29761,            0.046208,            0.028004,                   0,             0.08614,             0.08614,             0.08614
                   9,            0.051063,            0.038636,                   0,             0.55058,              0.4875,             0.51933,             0.22011,            0.052466,            0.029321,                   0,             0.08416,             0.08416,             0.08416
                  10,            0.047944,            0.038419,                   0,             0.59834,             0.47655,             0.53095,             0.24759,            0.052747,            0.031606,                   0,             0.08218,             0.08218,             0.08218
                  11,            0.047346,            0.037266,                   0,             0.62155,             0.57586,              0.6161,             0.26355,            0.048156,            0.027338,                   0,              0.0802,              0.0802,              0.0802
                  12,            0.046407,            0.036816,                   0,             0.67511,             0.58184,             0.64878,             0.30062,            0.044816,            0.027327,                   0,             0.07822,             0.07822,             0.07822
                  13,            0.045956,            0.036772,                   0,             0.68226,             0.58414,              0.6682,             0.34356,            0.043579,             0.02616,                   0,             0.07624,             0.07624,             0.07624
                  14,            0.045396,            0.034939,                   0,             0.64222,             0.52983,             0.59117,             0.29647,            0.045894,            0.031225,                   0,             0.07426,             0.07426,             0.07426
                  15,            0.045718,            0.035332,                   0,              0.7117,             0.59756,             0.69213,             0.36433,            0.041255,            0.025673,                   0,             0.07228,             0.07228,             0.07228
                  16,             0.04402,            0.036613,                   0,             0.69924,             0.55478,             0.64449,             0.33824,            0.043674,            0.027764,                   0,              0.0703,              0.0703,              0.0703
                  17,            0.042882,            0.034847,                   0,             0.64488,             0.57931,             0.64065,             0.28066,            0.048207,            0.027371,                   0,             0.06832,             0.06832,             0.06832
                  18,            0.043484,             0.03377,                   0,             0.67362,             0.63172,              0.6845,             0.34026,            0.042171,            0.026009,                   0,             0.06634,             0.06634,             0.06634
