                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                0.54656,                0.66434,                0.76768,                      1,              0.0009802
                      1,                0.51187,                0.49926,                0.84244,                      1,              0.0009604
                      2,                0.49929,                0.62511,                0.78296,                      1,              0.0009406
                      3,                0.48239,                0.56364,                0.77572,                      1,              0.0009208
                      4,                0.48374,                0.81187,                0.70096,                      1,               0.000901
                      5,                0.44033,                0.56469,                0.79743,                      1,              0.0008812
                      6,                0.39545,                0.69662,                0.71222,                      1,              0.0008614
                      7,                0.33729,                0.62185,                0.79823,                      1,              0.0008416
                      8,                0.30332,                0.91222,                0.71865,                      1,              0.0008218
                      9,                0.25415,                0.55805,                0.79904,                      1,               0.000802
                     10,                 0.2315,                0.62259,                0.77814,                      1,              0.0007822
                     11,                0.23114,                 0.5318,                0.80386,                      1,              0.0007624
                     12,                0.26617,                0.69011,                0.77492,                      1,              0.0007426
                     13,                0.23956,                0.57936,                 0.7926,                      1,              0.0007228
                     14,                0.23233,                0.53473,                0.80868,                      1,               0.000703
                     15,                0.22214,                0.60792,                 0.7918,                      1,              0.0006832
                     16,                0.21624,                0.68165,                0.74116,                      1,              0.0006634
                     17,                0.21445,                0.60349,                0.79421,                      1,              0.0006436
                     18,                0.21118,                0.57269,                0.80225,                      1,              0.0006238
                     19,                0.21102,                0.60991,                0.79743,                      1,               0.000604
                     20,                 0.2103,                0.57667,                0.79984,                      1,              0.0005842
                     21,                0.21028,                0.60231,                0.79823,                      1,              0.0005644
                     22,                0.20931,                0.60738,                  0.791,                      1,              0.0005446
                     23,                0.20896,                0.62327,                0.78135,                      1,              0.0005248
                     24,                0.20885,                 0.6497,                0.78376,                      1,               0.000505
                     25,                0.20691,                0.57901,                0.79823,                      1,              0.0004852
                     26,                0.20589,                0.61345,                0.78939,                      1,              0.0004654
                     27,                0.20717,                0.52341,                0.83441,                      1,              0.0004456
                     28,                0.20887,                 0.6018,                0.78215,                      1,              0.0004258
                     29,                0.20676,                0.60136,                  0.791,                      1,               0.000406
                     30,                0.20763,                0.61106,                 0.7926,                      1,              0.0003862
                     31,                0.20571,                0.60853,                0.80064,                      1,              0.0003664
                     32,                0.20567,                0.60688,                0.79341,                      1,              0.0003466
                     33,                0.20563,                 0.6099,                0.80225,                      1,              0.0003268
                     34,                0.20483,                0.58698,                0.78215,                      1,               0.000307
                     35,                0.20509,                0.63597,                0.77653,                      1,              0.0002872
                     36,                0.20472,                0.60252,                 0.7926,                      1,              0.0002674
                     37,                 0.2107,                0.62687,                 0.7918,                      1,              0.0002476
                     38,                0.21183,                0.60988,                0.78859,                      1,              0.0002278
                     39,                0.21384,                 0.5907,                0.80145,                      1,               0.000208
                     40,                0.20842,                0.57524,                0.79984,                      1,              0.0001882
                     41,                0.20828,                0.60375,                0.79421,                      1,              0.0001684
                     42,                0.20564,                0.66014,                0.77331,                      1,              0.0001486
                     43,                0.20681,                0.55275,                 0.8127,                      1,              0.0001288
                     44,                0.20482,                0.61409,                0.78457,                      1,               0.000109
                     45,                0.20414,                0.69695,                0.75482,                      1,               8.92e-05
                     46,                0.20358,                 0.6226,                0.77572,                      1,               6.94e-05
                     47,                0.20285,                0.62661,                0.77653,                      1,               4.96e-05
                     48,                 0.2026,                0.62848,                0.77894,                      1,               2.98e-05
                     49,                0.20247,                0.63476,                0.78215,                      1,                  1e-05
