epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.79269,4.04139,51.3331,1.68505,0.00078,0.01099,7e-05,2e-05,4.76801,1449.42,2.48487,0.00052,0.00052,0.00052
2,9.20624,4.78963,7.5797,1.61177,0,0,0,0,5.51084,7016.87,4.02242,0.0010565,0.0010565,0.0010565
3,12.2751,4.85329,4.78645,1.44614,0,0,0,0,nan,nan,nan,0.00158944,0.00158944,0.00158944
4,15.4602,4.82154,4.56508,1.3417,0,0,0,0,0.06608,inf,0.07203,0.0019802,0.0019802,0.0019802
5,18.6129,4.85958,4.45221,1.30578,0,0,0,0,nan,nan,nan,0.0019736,0.0019736,0.0019736
6,21.7535,4.6306,4.51985,1.29379,0,0,0,0,nan,nan,nan,0.001967,0.001967,0.001967
7,24.8704,4.81911,4.60725,1.2187,0,0,0,0,3.15482,140.577,0.80978,0.0019604,0.0019604,0.0019604
8,27.9668,4.73254,4.59502,1.25833,0,0,0,0,5.64606,4.76383,1.49208,0.0019538,0.0019538,0.0019538
9,31.0535,4.81726,4.57332,1.207,0,0,0,0,5.9215,3.98976,1.61044,0.0019472,0.0019472,0.0019472
10,34.2537,4.77415,4.55328,1.17614,0,0,0,0,5.865,4.0451,1.5993,0.0019406,0.0019406,0.0019406
11,37.2742,4.76836,4.52296,1.1821,0,0,0,0,5.74883,4.20814,1.4057,0.001934,0.001934,0.001934
12,40.4378,4.71644,4.51157,1.18103,0,0,0,0,5.58581,5.02086,1.92222,0.0019274,0.0019274,0.0019274
13,43.549,4.66927,4.56309,1.19874,0,0,0,0,4.62128,5.71941,2.43199,0.0019208,0.0019208,0.0019208
14,46.7288,4.74036,4.51925,1.16971,0,0,0,0,5.34388,4.58229,1.38197,0.0019142,0.0019142,0.0019142
15,49.8316,4.82078,4.54418,1.14416,0,0,0,0,5.57424,4.26995,1.22069,0.0019076,0.0019076,0.0019076
16,53.0709,4.78128,4.52258,1.13503,0,0,0,0,5.14343,4.65835,0.94476,0.001901,0.001901,0.001901
17,56.2389,4.72068,4.49048,1.12559,0,0,0,0,5.89952,3.88821,1.31517,0.0018944,0.0018944,0.0018944
18,59.3451,4.65205,4.4997,1.14545,0,0,0,0,5.86508,3.91495,1.40047,0.0018878,0.0018878,0.0018878
19,62.6464,4.79681,4.4667,1.18076,0,0,0,0,5.79331,3.96483,1.48333,0.0018812,0.0018812,0.0018812
20,65.7849,4.65571,4.48171,1.19278,0,0,0,0,5.91808,3.96926,1.60379,0.0018746,0.0018746,0.0018746
21,68.8529,4.60467,4.4018,1.17453,0,0,0,0,6.07044,4.23995,1.78723,0.001868,0.001868,0.001868
22,72.0792,4.62607,4.42447,1.15603,0,0,0,0,5.88076,4.9723,1.76982,0.0018614,0.0018614,0.0018614
23,75.5228,4.6637,4.38334,1.17523,0,0,0,0,5.86566,4.0752,1.4909,0.0018548,0.0018548,0.0018548
24,78.7477,4.77542,4.40319,1.17902,0,0,0,0,5.68877,3.71636,1.20441,0.0018482,0.0018482,0.0018482
25,82.03,4.67785,4.42326,1.16018,0,0,0,0,5.44447,3.72149,1.15151,0.0018416,0.0018416,0.0018416
26,85.2328,4.56959,4.38316,1.16575,0,0,0,0,5.20432,4.32442,1.32462,0.001835,0.001835,0.001835
27,88.4445,4.71282,4.39366,1.2008,0,0,0,0,5.50467,4.17967,1.30558,0.0018284,0.0018284,0.0018284
28,91.7417,4.63891,4.34301,1.17177,0,0,0,0,5.74595,4.06298,1.51764,0.0018218,0.0018218,0.0018218
29,95.0534,4.70928,4.26442,1.19165,0,0,0,0,5.95883,3.76066,1.68135,0.0018152,0.0018152,0.0018152
30,98.2872,4.75518,4.33105,1.1726,0,0,0,0,5.93515,3.91155,1.4859,0.0018086,0.0018086,0.0018086
31,101.704,4.70759,4.31106,1.17391,0,0,0,0,5.87362,3.72017,1.47565,0.001802,0.001802,0.001802
32,105.077,4.72272,4.27074,1.19092,0,0,0,0,5.91707,4.48979,1.3707,0.0017954,0.0017954,0.0017954
33,108.268,4.76726,4.28426,1.18105,0,0,0,0,5.93448,4.91554,1.60315,0.0017888,0.0017888,0.0017888
34,111.554,4.65076,4.23469,1.15895,0,0,0,0,5.97926,4.18591,1.59452,0.0017822,0.0017822,0.0017822
35,115.105,4.6249,4.20668,1.18324,0,0,0,0,5.97653,3.89591,1.43952,0.0017756,0.0017756,0.0017756
36,118.337,4.8849,4.13049,1.19587,0,0,0,0,5.86361,4.77554,1.35588,0.001769,0.001769,0.001769
37,121.649,4.71832,4.1603,1.14888,0,0,0,0,5.91549,3.91367,1.40358,0.0017624,0.0017624,0.0017624
38,125.022,4.69322,4.08393,1.11509,0,0,0,0,5.86399,4.09855,1.33385,0.0017558,0.0017558,0.0017558
