epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.9458,2.09814,2.8497,1.61544,0.47919,0.44207,0.39886,0.18865,1.72081,1.86418,1.4568,0.0006629,0.0006629,0.0006629
2,129.05,1.73076,1.69429,1.36268,0.51927,0.51922,0.50113,0.22913,1.7355,1.71019,1.40333,0.0013164,0.0013164,0.0013164
3,181.586,1.68261,1.59247,1.34928,0.56021,0.55609,0.57938,0.26025,1.73073,1.62578,1.47393,0.00195671,0.00195671,0.00195671
4,221.426,1.65098,1.49843,1.32653,0.60997,0.55448,0.59914,0.28143,1.73272,1.61871,1.44777,0.0019406,0.0019406,0.0019406
5,262.977,1.62002,1.47887,1.31985,0.59607,0.5628,0.56828,0.273,1.70213,1.56795,1.44356,0.0019208,0.0019208,0.0019208
6,305.372,1.63499,1.46279,1.31499,0.67303,0.54937,0.63861,0.34503,1.57091,1.46316,1.33569,0.001901,0.001901,0.001901
7,348.635,1.58638,1.38278,1.31108,0.65952,0.60517,0.66504,0.36453,1.52442,1.40693,1.32708,0.0018812,0.0018812,0.0018812
8,392.605,1.54606,1.3193,1.26226,0.71755,0.62022,0.68949,0.3657,1.58011,1.3276,1.35257,0.0018614,0.0018614,0.0018614
9,437.057,1.52944,1.30423,1.26575,0.65053,0.55241,0.61462,0.31695,1.64101,1.5264,1.3791,0.0018416,0.0018416,0.0018416
10,481.831,1.52469,1.27979,1.26699,0.71894,0.61241,0.70092,0.38681,1.53081,1.35286,1.3151,0.0018218,0.0018218,0.0018218
11,526.583,1.52381,1.26398,1.25847,0.68791,0.59724,0.67251,0.37178,1.52845,1.36259,1.30505,0.001802,0.001802,0.001802
12,571.625,1.51663,1.24437,1.2456,0.69013,0.62276,0.69535,0.37781,1.52901,1.29942,1.32768,0.0017822,0.0017822,0.0017822
13,616.874,1.48951,1.21284,1.22981,0.68182,0.60483,0.68647,0.34027,1.60742,1.38251,1.38459,0.0017624,0.0017624,0.0017624
14,662.471,1.4925,1.22943,1.23689,0.67825,0.67517,0.73121,0.39777,1.47792,1.20407,1.29139,0.0017426,0.0017426,0.0017426
15,708.043,1.48331,1.20699,1.22795,0.69178,0.67517,0.73209,0.39221,1.53761,1.36391,1.31397,0.0017228,0.0017228,0.0017228
16,753.718,1.4627,1.17456,1.22075,0.70663,0.67724,0.73968,0.42149,1.43664,1.20172,1.25463,0.001703,0.001703,0.001703
17,799.291,1.46732,1.17546,1.22684,0.72026,0.66057,0.74683,0.40746,1.48954,1.16852,1.2971,0.0016832,0.0016832,0.0016832
