               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.18231,           0.0044467,                   0,          0.00025641,            0.076923,            0.015178,           0.0045373,              0.1545,           0.0037675,                   0,              0.0766,              0.0026,              0.0026
                   1,             0.16348,           0.0041846,                   0,           7.326e-05,            0.021978,          3.8693e-05,          7.6816e-06,             0.14772,           0.0028882,                   0,            0.052283,           0.0052825,           0.0052825
                   2,             0.15104,           0.0038762,                   0,           7.326e-05,            0.021978,          3.7713e-05,          3.7713e-06,             0.14427,           0.0026463,                   0,            0.027947,           0.0079472,           0.0079472
                   3,             0.14823,           0.0033933,                   0,                   0,                   0,                   0,                   0,             0.14304,           0.0024644,                   0,            0.009901,            0.009901,            0.009901
                   4,             0.14804,            0.002963,                   0,                   0,                   0,                   0,                   0,             0.14174,           0.0022296,                   0,            0.009901,            0.009901,            0.009901
                   5,             0.14592,           0.0030597,                   0,           3.663e-05,            0.010989,          1.8538e-05,          1.8538e-06,              0.1417,           0.0019509,                   0,            0.009868,            0.009868,            0.009868
                   6,             0.14591,           0.0028691,                   0,           3.663e-05,            0.010989,          1.9156e-05,          3.8313e-06,             0.14138,           0.0018654,                   0,            0.009835,            0.009835,            0.009835
                   7,             0.14609,           0.0028916,                   0,          0.00014659,            0.043956,           7.662e-05,          1.9031e-05,             0.14202,             0.00179,                   0,            0.009802,            0.009802,            0.009802
                   8,             0.14574,           0.0027044,                   0,          7.3381e-05,            0.021978,          3.7664e-05,          9.3456e-06,             0.14105,            0.001911,                   0,            0.009769,            0.009769,            0.009769
                   9,             0.14582,           0.0026384,                   0,          0.00011063,            0.032967,          5.8106e-05,          1.3381e-05,             0.14184,           0.0018473,                   0,            0.009736,            0.009736,            0.009736
                  10,             0.14565,            0.002771,                   0,           3.776e-05,            0.010989,          1.9634e-05,          1.9634e-06,              0.1403,           0.0018814,                   0,            0.009703,            0.009703,            0.009703
                  11,             0.14468,           0.0026817,                   0,          3.8904e-05,            0.010989,          2.0941e-05,          2.0941e-06,             0.14022,           0.0018759,                   0,             0.00967,             0.00967,             0.00967
                  12,             0.14441,           0.0027525,                   0,          0.00015521,            0.043956,          0.00010384,          1.0384e-05,             0.14049,           0.0018501,                   0,            0.009637,            0.009637,            0.009637
                  13,             0.14458,           0.0028946,                   0,          0.00027711,            0.076923,          0.00018021,          2.7196e-05,             0.13954,           0.0019176,                   0,            0.009604,            0.009604,            0.009604
                  14,             0.14371,           0.0030938,                   0,          0.00011205,            0.032967,          6.5411e-05,          1.0641e-05,             0.13968,           0.0019646,                   0,            0.009571,            0.009571,            0.009571
                  15,             0.14275,           0.0028677,                   0,          0.00011334,            0.032967,          6.6214e-05,          1.8783e-05,             0.13929,           0.0020672,                   0,            0.009538,            0.009538,            0.009538
                  16,             0.14308,           0.0030045,                   0,           0.0005259,             0.15385,          0.00080066,          0.00010988,             0.13973,           0.0020145,                   0,            0.009505,            0.009505,            0.009505
                  17,             0.14263,           0.0028575,                   0,          0.00077176,             0.20879,           0.0011299,           0.0002398,             0.13598,           0.0019761,                   0,            0.009472,            0.009472,            0.009472
                  18,             0.14254,            0.002902,                   0,          0.00022105,            0.054945,          0.00016036,          2.9568e-05,             0.13719,           0.0020521,                   0,            0.009439,            0.009439,            0.009439
                  19,             0.14224,           0.0031689,                   0,          0.00045333,            0.098901,          0.00034545,          8.8031e-05,             0.13495,           0.0021599,                   0,            0.009406,            0.009406,            0.009406
                  20,             0.14223,           0.0032151,                   0,           0.0011467,             0.12088,          0.00065063,          0.00014027,             0.13591,           0.0023896,                   0,            0.009373,            0.009373,            0.009373
                  21,             0.14281,           0.0029596,                   0,          0.00019704,            0.054945,          0.00012264,          2.5656e-05,             0.13726,           0.0024944,                   0,             0.00934,             0.00934,             0.00934
                  22,             0.14222,           0.0033017,                   0,          0.00059526,             0.16484,           0.0005879,          0.00011005,             0.13611,           0.0023846,                   0,            0.009307,            0.009307,            0.009307
                  23,             0.14142,           0.0033367,                   0,          0.00054331,             0.15385,          0.00059657,          0.00014271,             0.13578,           0.0023793,                   0,            0.009274,            0.009274,            0.009274
                  24,             0.14043,           0.0032906,                   0,            0.001128,             0.25275,           0.0026743,          0.00043741,             0.12966,           0.0025433,                   0,            0.009241,            0.009241,            0.009241
                  25,             0.14078,           0.0035845,                   0,           0.0026919,             0.27473,           0.0041612,          0.00060348,             0.12864,           0.0027846,                   0,            0.009208,            0.009208,            0.009208
                  26,             0.14037,           0.0034895,                   0,          0.00074571,              0.1978,           0.0015954,          0.00022011,             0.13674,           0.0025141,                   0,            0.009175,            0.009175,            0.009175
                  27,             0.14057,            0.003535,                   0,            0.001269,             0.31868,           0.0022933,          0.00049781,              0.1327,           0.0025839,                   0,            0.009142,            0.009142,            0.009142
                  28,              0.1399,           0.0035636,                   0,             0.02204,            0.043956,           0.0066688,          0.00083594,             0.13383,           0.0024581,                   0,            0.009109,            0.009109,            0.009109
                  29,             0.13867,           0.0035333,                   0,            0.010437,            0.076923,           0.0023888,           0.0005207,             0.13009,           0.0028288,                   0,            0.009076,            0.009076,            0.009076
                  30,             0.14027,           0.0035494,                   0,            0.015102,             0.10989,           0.0054018,          0.00075548,             0.13561,           0.0023836,                   0,            0.009043,            0.009043,            0.009043
                  31,             0.13964,           0.0036016,                   0,           0.0021927,             0.37363,           0.0086853,           0.0015663,             0.13602,           0.0023092,                   0,             0.00901,             0.00901,             0.00901
                  32,             0.13897,           0.0037718,                   0,           0.0024374,             0.48352,            0.010694,           0.0025034,             0.13988,           0.0018975,                   0,            0.008977,            0.008977,            0.008977
                  33,             0.13898,           0.0038568,                   0,           0.0014619,             0.38462,            0.012514,           0.0020561,             0.12816,           0.0030483,                   0,            0.008944,            0.008944,            0.008944
                  34,             0.13752,           0.0037322,                   0,           0.0066299,             0.36264,            0.036015,             0.01001,             0.13205,           0.0025761,                   0,            0.008911,            0.008911,            0.008911
                  35,             0.13803,           0.0038385,                   0,           0.0088194,             0.34066,            0.013751,           0.0026828,             0.13228,           0.0025732,                   0,            0.008878,            0.008878,            0.008878
                  36,             0.13809,           0.0039815,                   0,            0.010447,             0.30769,            0.011766,           0.0029051,             0.12845,           0.0027622,                   0,            0.008845,            0.008845,            0.008845
                  37,             0.14003,           0.0036146,                   0,            0.034499,             0.14286,            0.024708,           0.0046373,             0.12588,           0.0028004,                   0,            0.008812,            0.008812,            0.008812
                  38,             0.13709,           0.0040474,                   0,            0.017718,             0.36264,            0.010775,           0.0021994,             0.13999,           0.0021612,                   0,            0.008779,            0.008779,            0.008779
                  39,             0.13633,           0.0045304,                   0,            0.041433,             0.10989,             0.01838,           0.0038506,             0.12301,           0.0030608,                   0,            0.008746,            0.008746,            0.008746
                  40,             0.13396,           0.0046071,                   0,            0.046369,             0.18681,            0.030876,           0.0070154,             0.12068,           0.0030261,                   0,            0.008713,            0.008713,            0.008713
