               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.17859,           0.0040645,                   0,          0.00087912,             0.26374,          0.00085504,          0.00039632,             0.15237,           0.0026581,                   0,              0.0766,              0.0026,              0.0026
                   1,             0.17681,           0.0040495,                   0,          0.00076923,             0.23077,          0.00069461,            0.000302,             0.15242,           0.0025446,                   0,            0.052283,           0.0052825,           0.0052825
                   2,             0.17284,            0.004059,                   0,           0.0007326,             0.21978,          0.00053623,          0.00024994,             0.15231,           0.0025106,                   0,            0.027947,           0.0079472,           0.0079472
                   3,             0.16837,           0.0040362,                   0,          0.00051282,             0.15385,          0.00033056,          0.00015592,             0.15423,            0.002268,                   0,            0.009901,            0.009901,            0.009901
                   4,             0.16489,           0.0039374,                   0,          0.00018315,            0.054945,          0.00012372,          5.4061e-05,             0.16181,           0.0016468,                   0,            0.009901,            0.009901,            0.009901
                   5,             0.16019,            0.003864,                   0,                   0,                   0,                   0,                   0,             0.16141,           0.0013411,                   0,            0.009868,            0.009868,            0.009868
                   6,             0.15768,           0.0037985,                   0,                   0,                   0,                   0,                   0,              0.1546,           0.0015492,                   0,            0.009835,            0.009835,            0.009835
                   7,             0.15631,           0.0037625,                   0,                   0,                   0,                   0,                   0,             0.15112,           0.0016857,                   0,            0.009802,            0.009802,            0.009802
                   8,              0.1546,           0.0036048,                   0,                   0,                   0,                   0,                   0,             0.14906,           0.0017621,                   0,            0.009769,            0.009769,            0.009769
                   9,             0.15343,           0.0035901,                   0,                   0,                   0,                   0,                   0,             0.14722,            0.001848,                   0,            0.009736,            0.009736,            0.009736
                  10,              0.1521,           0.0036699,                   0,                   0,                   0,                   0,                   0,             0.14623,           0.0019308,                   0,            0.009703,            0.009703,            0.009703
                  11,             0.15071,           0.0035441,                   0,                   0,                   0,                   0,                   0,             0.14553,           0.0020038,                   0,             0.00967,             0.00967,             0.00967
                  12,             0.14974,           0.0036331,                   0,                   0,                   0,                   0,                   0,             0.14554,           0.0020293,                   0,            0.009637,            0.009637,            0.009637
                  13,             0.14988,           0.0036016,                   0,                   0,                   0,                   0,                   0,             0.14434,           0.0021061,                   0,            0.009604,            0.009604,            0.009604
                  14,             0.14868,            0.003763,                   0,                   0,                   0,                   0,                   0,             0.14357,             0.00214,                   0,            0.009571,            0.009571,            0.009571
                  15,             0.14783,           0.0035826,                   0,                   0,                   0,                   0,                   0,             0.14292,           0.0022143,                   0,            0.009538,            0.009538,            0.009538
                  16,             0.14799,           0.0036496,                   0,                   0,                   0,                   0,                   0,             0.14262,           0.0022217,                   0,            0.009505,            0.009505,            0.009505
                  17,             0.14787,           0.0035094,                   0,                   0,                   0,                   0,                   0,             0.14231,            0.002232,                   0,            0.009472,            0.009472,            0.009472
                  18,             0.14793,           0.0034676,                   0,                   0,                   0,                   0,                   0,             0.14193,           0.0022183,                   0,            0.009439,            0.009439,            0.009439
                  19,             0.14755,           0.0035874,                   0,                   0,                   0,                   0,                   0,             0.14175,           0.0021894,                   0,            0.009406,            0.009406,            0.009406
                  20,             0.14772,           0.0035627,                   0,                   0,                   0,                   0,                   0,             0.14161,            0.002204,                   0,            0.009373,            0.009373,            0.009373
                  21,             0.14825,           0.0032512,                   0,                   0,                   0,                   0,                   0,              0.1417,           0.0021761,                   0,             0.00934,             0.00934,             0.00934
                  22,             0.14841,            0.003352,                   0,                   0,                   0,                   0,                   0,               0.142,           0.0021055,                   0,            0.009307,            0.009307,            0.009307
                  23,             0.14767,           0.0033476,                   0,                   0,                   0,                   0,                   0,             0.14218,           0.0020304,                   0,            0.009274,            0.009274,            0.009274
                  24,             0.14688,           0.0033127,                   0,                   0,                   0,                   0,                   0,             0.14189,           0.0020021,                   0,            0.009241,            0.009241,            0.009241
                  25,             0.14747,           0.0033515,                   0,                   0,                   0,                   0,                   0,             0.14167,           0.0019869,                   0,            0.009208,            0.009208,            0.009208
                  26,             0.14684,           0.0033069,                   0,                   0,                   0,                   0,                   0,             0.14149,           0.0019806,                   0,            0.009175,            0.009175,            0.009175
                  27,             0.14745,           0.0032614,                   0,                   0,                   0,                   0,                   0,             0.14142,           0.0019534,                   0,            0.009142,            0.009142,            0.009142
                  28,             0.14792,           0.0031601,                   0,                   0,                   0,                   0,                   0,             0.14141,            0.001938,                   0,            0.009109,            0.009109,            0.009109
                  29,             0.14686,           0.0032158,                   0,                   0,                   0,                   0,                   0,             0.14157,           0.0019194,                   0,            0.009076,            0.009076,            0.009076
                  30,             0.14713,           0.0031663,                   0,                   0,                   0,                   0,                   0,             0.14165,            0.001858,                   0,            0.009043,            0.009043,            0.009043
                  31,               0.148,           0.0030841,                   0,                   0,                   0,                   0,                   0,              0.1416,           0.0018266,                   0,             0.00901,             0.00901,             0.00901
                  32,             0.14728,           0.0030918,                   0,                   0,                   0,                   0,                   0,             0.14155,            0.001821,                   0,            0.008977,            0.008977,            0.008977
                  33,             0.14744,           0.0030613,                   0,                   0,                   0,                   0,                   0,             0.14159,           0.0017815,                   0,            0.008944,            0.008944,            0.008944
                  34,             0.14629,           0.0031533,                   0,                   0,                   0,                   0,                   0,             0.14131,           0.0017953,                   0,            0.008911,            0.008911,            0.008911
                  35,             0.14717,           0.0030676,                   0,                   0,                   0,                   0,                   0,             0.14169,           0.0017628,                   0,            0.008878,            0.008878,            0.008878
                  36,              0.1475,           0.0030761,                   0,                   0,                   0,                   0,                   0,             0.14192,           0.0017418,                   0,            0.008845,            0.008845,            0.008845
                  37,             0.14754,           0.0030058,                   0,                   0,                   0,                   0,                   0,             0.14183,           0.0017516,                   0,            0.008812,            0.008812,            0.008812
                  38,              0.1473,           0.0031564,                   0,                   0,                   0,                   0,                   0,             0.14178,           0.0017516,                   0,            0.008779,            0.008779,            0.008779
                  39,             0.14662,           0.0033395,                   0,                   0,                   0,                   0,                   0,             0.14123,           0.0017964,                   0,            0.008746,            0.008746,            0.008746
                  40,             0.14578,           0.0034019,                   0,                   0,                   0,                   0,                   0,             0.14141,           0.0017687,                   0,            0.008713,            0.008713,            0.008713
                  41,             0.14756,           0.0028768,                   0,                   0,                   0,                   0,                   0,             0.14156,           0.0017564,                   0,             0.00868,             0.00868,             0.00868
                  42,             0.14734,           0.0029959,                   0,                   0,                   0,                   0,                   0,             0.14161,           0.0017612,                   0,            0.008647,            0.008647,            0.008647
                  43,             0.14635,           0.0033257,                   0,                   0,                   0,                   0,                   0,             0.14198,           0.0017402,                   0,            0.008614,            0.008614,            0.008614
                  44,             0.14642,           0.0032593,                   0,                   0,                   0,                   0,                   0,             0.14182,           0.0017415,                   0,            0.008581,            0.008581,            0.008581
                  45,             0.14703,           0.0029987,                   0,                   0,                   0,                   0,                   0,             0.14174,           0.0017631,                   0,            0.008548,            0.008548,            0.008548
                  46,               0.147,           0.0031426,                   0,          3.8595e-05,            0.010989,          1.9759e-05,          1.9759e-06,             0.14146,           0.0017816,                   0,            0.008515,            0.008515,            0.008515
                  47,              0.1467,           0.0030517,                   0,                   0,                   0,                   0,                   0,             0.14155,           0.0017774,                   0,            0.008482,            0.008482,            0.008482
                  48,             0.14627,           0.0032092,                   0,                   0,                   0,                   0,                   0,             0.14124,           0.0017918,                   0,            0.008449,            0.008449,            0.008449
                  49,             0.14615,           0.0033149,                   0,                   0,                   0,                   0,                   0,             0.14095,           0.0018031,                   0,            0.008416,            0.008416,            0.008416
                  50,             0.14609,           0.0032732,                   0,                   0,                   0,                   0,                   0,             0.14139,           0.0017702,                   0,            0.008383,            0.008383,            0.008383
                  51,              0.1462,           0.0030884,                   0,                   0,                   0,                   0,                   0,             0.14179,           0.0017451,                   0,             0.00835,             0.00835,             0.00835
                  52,             0.14611,           0.0032189,                   0,                   0,                   0,                   0,                   0,             0.14201,           0.0017342,                   0,            0.008317,            0.008317,            0.008317
                  53,             0.14561,           0.0031751,                   0,                   0,                   0,                   0,                   0,             0.14163,           0.0017573,                   0,            0.008284,            0.008284,            0.008284
                  54,             0.14618,           0.0031181,                   0,                   0,                   0,                   0,                   0,             0.14153,           0.0017679,                   0,            0.008251,            0.008251,            0.008251
                  55,             0.14651,           0.0032817,                   0,          4.0195e-05,            0.010989,           2.042e-05,           2.042e-06,             0.14159,           0.0017663,                   0,            0.008218,            0.008218,            0.008218
                  56,             0.14583,           0.0031332,                   0,          4.0723e-05,            0.010989,          2.0696e-05,          2.0696e-06,             0.14154,            0.001766,                   0,            0.008185,            0.008185,            0.008185
                  57,             0.14602,           0.0031322,                   0,          4.0677e-05,            0.010989,          2.0942e-05,          2.0942e-06,             0.14158,           0.0017614,                   0,            0.008152,            0.008152,            0.008152
                  58,             0.14701,           0.0030028,                   0,          4.2289e-05,            0.010989,          2.1685e-05,          2.1685e-06,             0.14128,           0.0017821,                   0,            0.008119,            0.008119,            0.008119
                  59,             0.14583,           0.0033853,                   0,          4.2215e-05,            0.010989,          2.1674e-05,          4.3348e-06,             0.14141,           0.0017741,                   0,            0.008086,            0.008086,            0.008086
                  60,             0.14585,           0.0032562,                   0,          4.2977e-05,            0.010989,          2.1908e-05,          4.3816e-06,             0.14158,           0.0017675,                   0,            0.008053,            0.008053,            0.008053
