               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1803,           0.0054985,                   0,          0.00069597,             0.20879,          0.00075268,           0.0002301,             0.15359,           0.0049565,                   0,              0.0766,              0.0026,              0.0026
                   1,              0.1658,           0.0048236,                   0,          0.00047619,             0.14286,          0.00078455,          0.00017289,             0.13774,           0.0039345,                   0,            0.052283,           0.0052825,           0.0052825
                   2,             0.15314,           0.0043694,                   0,          0.00010989,            0.032967,          7.3095e-05,          1.9452e-05,             0.14297,           0.0029999,                   0,            0.027947,           0.0079472,           0.0079472
                   3,             0.14919,            0.003816,                   0,           3.663e-05,            0.010989,          1.8578e-05,          3.7156e-06,             0.14419,            0.002695,                   0,            0.009901,            0.009901,            0.009901
                   4,             0.14855,           0.0033714,                   0,                   0,                   0,                   0,                   0,             0.14273,           0.0024396,                   0,            0.009901,            0.009901,            0.009901
                   5,             0.14629,           0.0033646,                   0,          3.6845e-05,            0.010989,          1.8707e-05,          1.8707e-06,             0.14328,           0.0021679,                   0,            0.009868,            0.009868,            0.009868
                   6,             0.14577,           0.0031705,                   0,          3.7102e-05,            0.010989,          1.8845e-05,           3.769e-06,             0.14134,           0.0021444,                   0,            0.009835,            0.009835,            0.009835
                   7,             0.14601,           0.0031793,                   0,          3.6642e-05,            0.010989,          1.8739e-05,          3.7478e-06,              0.1407,             0.00207,                   0,            0.009802,            0.009802,            0.009802
                   8,             0.14586,           0.0029401,                   0,           3.663e-05,            0.010989,          1.8859e-05,          3.7719e-06,             0.14113,           0.0020474,                   0,            0.009769,            0.009769,            0.009769
                   9,             0.14594,           0.0028224,                   0,          7.3565e-05,            0.021978,          3.7698e-05,          5.6324e-06,             0.14035,           0.0020704,                   0,            0.009736,            0.009736,            0.009736
                  10,             0.14551,           0.0028964,                   0,          0.00018388,            0.054945,          9.7473e-05,          1.3519e-05,             0.14088,           0.0020761,                   0,            0.009703,            0.009703,            0.009703
                  11,             0.14449,           0.0028144,                   0,          0.00029363,            0.087912,          0.00018209,           3.432e-05,             0.14046,           0.0020799,                   0,             0.00967,             0.00967,             0.00967
                  12,             0.14417,           0.0029058,                   0,             0.00044,             0.13187,          0.00066914,          0.00010521,              0.1379,           0.0022484,                   0,            0.009637,            0.009637,            0.009637
                  13,             0.14456,           0.0029868,                   0,            0.000295,            0.087912,           0.0010896,           0.0002153,             0.13911,           0.0021763,                   0,            0.009604,            0.009604,            0.009604
                  14,             0.14364,           0.0031926,                   0,          0.00044266,             0.13187,          0.00066256,           0.0001762,             0.13822,           0.0022248,                   0,            0.009571,            0.009571,            0.009571
                  15,              0.1428,           0.0029324,                   0,          0.00058806,             0.17582,          0.00085122,          0.00016219,             0.13803,           0.0021811,                   0,            0.009538,            0.009538,            0.009538
                  16,             0.14336,           0.0030679,                   0,          0.00044144,             0.13187,          0.00050906,          9.9028e-05,             0.13923,           0.0021663,                   0,            0.009505,            0.009505,            0.009505
                  17,             0.14292,           0.0029446,                   0,          0.00066191,              0.1978,          0.00072998,          0.00013711,             0.13453,           0.0022461,                   0,            0.009472,            0.009472,            0.009472
                  18,             0.14281,           0.0029495,                   0,          0.00051318,             0.15385,          0.00077601,          0.00012352,             0.13512,           0.0023157,                   0,            0.009439,            0.009439,            0.009439
                  19,             0.14279,           0.0031506,                   0,          0.00055759,             0.15385,           0.0012729,          0.00017896,             0.13472,           0.0022119,                   0,            0.009406,            0.009406,            0.009406
                  20,             0.14246,           0.0032837,                   0,          0.00047619,             0.14286,          0.00037532,          8.8206e-05,             0.13394,           0.0028043,                   0,            0.009373,            0.009373,            0.009373
                  21,             0.14313,           0.0030331,                   0,           0.0004808,             0.14286,             0.01564,           0.0015842,             0.14269,           0.0020718,                   0,             0.00934,             0.00934,             0.00934
                  22,             0.14339,           0.0031717,                   0,          0.00044055,             0.10989,           0.0011798,          0.00014154,             0.14025,           0.0018561,                   0,            0.009307,            0.009307,            0.009307
                  23,             0.14231,           0.0032521,                   0,          0.00049447,             0.12088,          0.00061666,          0.00013981,             0.13392,           0.0022574,                   0,            0.009274,            0.009274,            0.009274
                  24,               0.141,           0.0032231,                   0,          0.00092262,             0.26374,           0.0019303,          0.00065442,             0.13038,           0.0023402,                   0,            0.009241,            0.009241,            0.009241
                  25,             0.14267,           0.0032922,                   0,          0.00067459,              0.1978,           0.0016526,          0.00030597,             0.13317,           0.0025396,                   0,            0.009208,            0.009208,            0.009208
                  26,             0.13997,           0.0034414,                   0,           0.0011258,             0.24176,           0.0028095,          0.00064129,                0.13,           0.0026003,                   0,            0.009175,            0.009175,            0.009175
                  27,             0.14147,           0.0034539,                   0,           0.0053263,             0.16484,            0.023333,           0.0043717,             0.12933,           0.0024051,                   0,            0.009142,            0.009142,            0.009142
                  28,              0.1416,             0.00338,                   0,           0.0017697,             0.18681,           0.0019305,          0.00040466,             0.13352,           0.0022903,                   0,            0.009109,            0.009109,            0.009109
                  29,             0.13975,           0.0035541,                   0,           0.0027575,             0.27473,           0.0085383,           0.0017812,             0.12648,           0.0027127,                   0,            0.009076,            0.009076,            0.009076
                  30,             0.13995,           0.0035391,                   0,           0.0013188,             0.24176,           0.0025122,          0.00051979,             0.13268,           0.0022925,                   0,            0.009043,            0.009043,            0.009043
                  31,             0.13993,           0.0036443,                   0,           0.0033129,             0.21978,           0.0048849,          0.00090421,             0.13406,           0.0024247,                   0,             0.00901,             0.00901,             0.00901
                  32,             0.13939,           0.0036391,                   0,           0.0035312,             0.20879,           0.0030384,          0.00072586,             0.13582,           0.0027449,                   0,            0.008977,            0.008977,            0.008977
                  33,             0.14104,             0.00348,                   0,          0.00080747,             0.23077,           0.0022993,          0.00053813,             0.13992,           0.0021756,                   0,            0.008944,            0.008944,            0.008944
                  34,             0.13796,           0.0035876,                   0,            0.002532,             0.21978,           0.0025623,          0.00078202,             0.12988,           0.0026549,                   0,            0.008911,            0.008911,            0.008911
                  35,             0.13991,           0.0037704,                   0,            0.014058,            0.087912,           0.0047996,          0.00075651,             0.12616,           0.0031621,                   0,            0.008878,            0.008878,            0.008878
                  36,             0.13962,           0.0037087,                   0,           0.0021984,             0.25275,           0.0052742,           0.0014773,             0.12805,           0.0026297,                   0,            0.008845,            0.008845,            0.008845
                  37,             0.14081,           0.0034704,                   0,           0.0018627,              0.2967,           0.0035528,          0.00088379,             0.12808,           0.0027491,                   0,            0.008812,            0.008812,            0.008812
                  38,             0.13754,           0.0040489,                   0,            0.020398,             0.10989,           0.0070119,           0.0013868,             0.12843,           0.0028144,                   0,            0.008779,            0.008779,            0.008779
                  39,             0.13665,           0.0044476,                   0,           0.0029938,             0.40659,           0.0095942,           0.0028535,             0.12965,           0.0028653,                   0,            0.008746,            0.008746,            0.008746
                  40,             0.13631,           0.0043068,                   0,            0.010711,             0.21978,            0.017873,           0.0051149,             0.12248,           0.0032575,                   0,            0.008713,            0.008713,            0.008713
                  41,             0.13836,           0.0037342,                   0,            0.034564,             0.24176,            0.023556,           0.0044987,              0.1205,           0.0029257,                   0,             0.00868,             0.00868,             0.00868
                  42,             0.13843,           0.0039333,                   0,            0.013238,            0.076923,           0.0023079,          0.00057924,             0.12746,           0.0030868,                   0,            0.008647,            0.008647,            0.008647
                  43,             0.13686,           0.0043338,                   0,           0.0022483,             0.30769,           0.0051237,           0.0014456,             0.12428,           0.0030019,                   0,            0.008614,            0.008614,            0.008614
                  44,             0.13749,            0.004237,                   0,           0.0078918,            0.076923,           0.0042558,          0.00069596,             0.12434,           0.0033971,                   0,            0.008581,            0.008581,            0.008581
                  45,             0.13726,           0.0040209,                   0,            0.015714,             0.27473,           0.0084914,           0.0017374,             0.12138,           0.0031736,                   0,            0.008548,            0.008548,            0.008548
                  46,             0.13714,           0.0041515,                   0,            0.012551,             0.10989,           0.0039073,           0.0010075,             0.13403,           0.0022159,                   0,            0.008515,            0.008515,            0.008515
                  47,             0.13555,           0.0042148,                   0,            0.018205,             0.10989,           0.0068459,           0.0013281,             0.13094,           0.0026473,                   0,            0.008482,            0.008482,            0.008482
                  48,             0.13624,           0.0043446,                   0,            0.045923,             0.18681,            0.019441,           0.0050394,             0.12332,           0.0030239,                   0,            0.008449,            0.008449,            0.008449
                  49,             0.13511,           0.0046146,                   0,            0.057547,             0.13187,            0.030747,           0.0060228,             0.12806,           0.0025882,                   0,            0.008416,            0.008416,            0.008416
                  50,             0.13619,           0.0043135,                   0,            0.034763,            0.076923,            0.013091,           0.0035849,             0.12449,           0.0027945,                   0,            0.008383,            0.008383,            0.008383
                  51,             0.13522,            0.004157,                   0,            0.018593,            0.032967,           0.0096028,           0.0015253,             0.12351,           0.0028869,                   0,             0.00835,             0.00835,             0.00835
                  52,              0.1358,           0.0042651,                   0,            0.038884,             0.18681,            0.019517,           0.0041617,              0.1208,           0.0031011,                   0,            0.008317,            0.008317,            0.008317
                  53,             0.13604,           0.0040851,                   0,             0.11877,             0.14286,            0.041548,           0.0098586,              0.1148,            0.003212,                   0,            0.008284,            0.008284,            0.008284
                  54,             0.13409,           0.0043945,                   0,             0.15738,             0.18681,            0.080269,            0.020401,             0.10998,           0.0032723,                   0,            0.008251,            0.008251,            0.008251
                  55,             0.13614,           0.0044941,                   0,            0.036073,             0.14286,            0.020842,           0.0035727,             0.12255,           0.0030089,                   0,            0.008218,            0.008218,            0.008218
                  56,             0.13263,           0.0043936,                   0,            0.011678,            0.076923,           0.0058476,            0.001781,             0.13113,           0.0024405,                   0,            0.008185,            0.008185,            0.008185
                  57,             0.13568,           0.0041497,                   0,            0.027513,             0.18681,            0.010225,           0.0016517,             0.12767,           0.0028183,                   0,            0.008152,            0.008152,            0.008152
                  58,             0.13512,           0.0043278,                   0,            0.073722,             0.23077,            0.035707,           0.0081339,             0.12326,           0.0029113,                   0,            0.008119,            0.008119,            0.008119
                  59,             0.13292,           0.0048806,                   0,              0.0501,              0.1978,            0.032107,           0.0074443,             0.11906,           0.0030137,                   0,            0.008086,            0.008086,            0.008086
                  60,             0.13201,           0.0046496,                   0,             0.03977,             0.24176,            0.019299,           0.0041567,             0.11723,           0.0029848,                   0,            0.008053,            0.008053,            0.008053
                  61,             0.13454,           0.0042495,                   0,            0.063729,             0.18681,            0.020034,           0.0047115,             0.11215,           0.0031842,                   0,             0.00802,             0.00802,             0.00802
                  62,             0.13265,           0.0046363,                   0,             0.12844,             0.13187,            0.045618,             0.01263,             0.11304,            0.003093,                   0,            0.007987,            0.007987,            0.007987
                  63,             0.13268,           0.0046239,                   0,            0.060892,             0.16484,            0.027341,           0.0069396,             0.10263,           0.0035282,                   0,            0.007954,            0.007954,            0.007954
                  64,             0.13456,           0.0044611,                   0,              0.1475,             0.21978,            0.071641,            0.017617,            0.099458,           0.0039937,                   0,            0.007921,            0.007921,            0.007921
                  65,             0.13292,           0.0046591,                   0,             0.13873,             0.23077,             0.11503,            0.034914,             0.10531,            0.003427,                   0,            0.007888,            0.007888,            0.007888
                  66,             0.13067,           0.0046962,                   0,             0.11803,             0.18681,            0.083123,             0.02052,             0.10836,           0.0032631,                   0,            0.007855,            0.007855,            0.007855
                  67,             0.13173,           0.0048377,                   0,             0.10474,             0.18681,            0.050734,             0.01122,             0.10813,            0.003252,                   0,            0.007822,            0.007822,            0.007822
