               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.17209,            0.013042,                   0,                   0,                   0,                   0,                   0,             0.15915,           0.0093104,                   0,            0.070283,           0.0033019,           0.0033019
                   1,             0.15299,           0.0071635,                   0,                   0,                   0,                   0,                   0,             0.14699,            0.005033,                   0,            0.040261,           0.0066133,           0.0066133
                   2,             0.14781,           0.0046621,                   0,                   0,                   0,                   0,                   0,             0.14461,           0.0037815,                   0,            0.010217,           0.0099028,           0.0099028
                   3,             0.14583,           0.0036724,                   0,                   0,                   0,                   0,                   0,             0.14335,           0.0032967,                   0,            0.009901,            0.009901,            0.009901
                   4,             0.14324,           0.0034445,                   0,                   0,                   0,                   0,                   0,             0.14286,           0.0031924,                   0,            0.009901,            0.009901,            0.009901
                   5,             0.14499,           0.0033529,                   0,                   0,                   0,                   0,                   0,             0.14274,           0.0031214,                   0,            0.009868,            0.009868,            0.009868
                   6,             0.14371,           0.0029767,                   0,                   0,                   0,                   0,                   0,             0.14262,           0.0030916,                   0,            0.009835,            0.009835,            0.009835
                   7,             0.14567,           0.0031895,                   0,                   0,                   0,                   0,                   0,              0.1426,           0.0030772,                   0,            0.009802,            0.009802,            0.009802
                   8,             0.14481,           0.0032367,                   0,                   0,                   0,                   0,                   0,             0.14259,           0.0030602,                   0,            0.009769,            0.009769,            0.009769
                   9,             0.14517,           0.0030775,                   0,                   0,                   0,                   0,                   0,             0.14249,           0.0030669,                   0,            0.009736,            0.009736,            0.009736
                  10,             0.14536,           0.0031294,                   0,                   0,                   0,                   0,                   0,             0.14243,           0.0030656,                   0,            0.009703,            0.009703,            0.009703
                  11,             0.14378,           0.0031444,                   0,                   0,                   0,                   0,                   0,             0.14253,           0.0030617,                   0,             0.00967,             0.00967,             0.00967
                  12,             0.14202,            0.003321,                   0,                   0,                   0,                   0,                   0,             0.14239,           0.0030849,                   0,            0.009637,            0.009637,            0.009637
                  13,             0.14502,           0.0031727,                   0,                   0,                   0,                   0,                   0,             0.14239,           0.0030951,                   0,            0.009604,            0.009604,            0.009604
                  14,             0.14267,           0.0033227,                   0,                   0,                   0,                   0,                   0,             0.14241,           0.0030754,                   0,            0.009571,            0.009571,            0.009571
                  15,             0.14359,           0.0032243,                   0,                   0,                   0,                   0,                   0,             0.14244,           0.0030633,                   0,            0.009538,            0.009538,            0.009538
                  16,             0.14362,           0.0032503,                   0,                   0,                   0,                   0,                   0,             0.14238,           0.0030774,                   0,            0.009505,            0.009505,            0.009505
