               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1787,           0.0047091,                   0,           3.663e-05,            0.010989,          1.8687e-05,           5.606e-06,             0.15849,           0.0038969,                   0,              0.0766,              0.0026,              0.0026
                   1,             0.16047,            0.004372,                   0,           7.326e-05,            0.021978,          4.6496e-05,          1.3048e-05,             0.14641,            0.003194,                   0,            0.052283,           0.0052825,           0.0052825
                   2,             0.15074,            0.003894,                   0,           7.326e-05,            0.021978,          3.8479e-05,          1.1462e-05,             0.14514,           0.0025516,                   0,            0.027947,           0.0079472,           0.0079472
                   3,             0.14813,           0.0033631,                   0,          0.00018315,            0.054945,          9.8323e-05,          2.3276e-05,             0.14458,            0.002148,                   0,            0.009901,            0.009901,            0.009901
                   4,             0.14792,           0.0029744,                   0,           7.326e-05,            0.021978,           3.786e-05,          1.1385e-05,             0.14143,           0.0022437,                   0,            0.009901,            0.009901,            0.009901
                   5,             0.14566,            0.003086,                   0,          0.00011497,            0.032967,          6.5109e-05,          1.4011e-05,              0.1414,           0.0020111,                   0,            0.009868,            0.009868,            0.009868
                   6,             0.14515,           0.0029608,                   0,          0.00019228,            0.043956,          0.00013879,          3.7704e-05,             0.14133,           0.0019639,                   0,            0.009835,            0.009835,            0.009835
                   7,             0.14538,           0.0029979,                   0,          0.00027498,            0.065934,          0.00023191,          4.5082e-05,             0.13919,           0.0020443,                   0,            0.009802,            0.009802,            0.009802
                   8,             0.14489,           0.0027996,                   0,           0.0002001,            0.054945,          0.00036487,           0.0001059,              0.1394,           0.0019635,                   0,            0.009769,            0.009769,            0.009769
                   9,             0.14506,            0.002719,                   0,          0.00032373,            0.087912,           0.0012957,           0.0002778,             0.13945,           0.0020834,                   0,            0.009736,            0.009736,            0.009736
                  10,             0.14435,           0.0028729,                   0,          0.00036415,            0.098901,           0.0012439,           0.0002449,             0.13746,           0.0021398,                   0,            0.009703,            0.009703,            0.009703
                  11,             0.14344,           0.0027805,                   0,          0.00049715,             0.12088,          0.00069865,          0.00020253,             0.13713,           0.0021079,                   0,             0.00967,             0.00967,             0.00967
                  12,             0.14327,           0.0028526,                   0,          0.00081115,             0.17582,           0.0014634,          0.00025257,             0.13815,           0.0020003,                   0,            0.009637,            0.009637,            0.009637
                  13,             0.14361,           0.0029157,                   0,          0.00086074,             0.15385,           0.0010496,          0.00023148,              0.1375,           0.0020263,                   0,            0.009604,            0.009604,            0.009604
                  14,              0.1426,            0.003181,                   0,           0.0014682,             0.25275,            0.003981,          0.00066163,             0.13972,           0.0019232,                   0,            0.009571,            0.009571,            0.009571
                  15,             0.14171,           0.0029578,                   0,           0.0011044,             0.16484,           0.0015151,          0.00026055,             0.13468,           0.0020967,                   0,            0.009538,            0.009538,            0.009538
                  16,             0.14182,           0.0032164,                   0,           0.0012621,             0.21978,           0.0024448,          0.00048445,             0.13087,             0.00234,                   0,            0.009505,            0.009505,            0.009505
                  17,             0.14161,           0.0032143,                   0,           0.0020168,             0.26374,           0.0029703,          0.00057108,             0.13589,           0.0021243,                   0,            0.009472,            0.009472,            0.009472
                  18,             0.14214,           0.0030476,                   0,           0.0016102,             0.27473,           0.0033073,          0.00075048,             0.13359,           0.0021453,                   0,            0.009439,            0.009439,            0.009439
                  19,             0.14126,           0.0034559,                   0,           0.0014343,             0.27473,           0.0046346,          0.00070703,             0.13083,           0.0024511,                   0,            0.009406,            0.009406,            0.009406
                  20,             0.14098,            0.003604,                   0,            0.017643,             0.21978,           0.0097759,           0.0018425,              0.1334,           0.0022896,                   0,            0.009373,            0.009373,            0.009373
                  21,             0.14098,           0.0034576,                   0,           0.0057689,             0.18681,           0.0029631,          0.00060439,             0.13262,            0.002489,                   0,             0.00934,             0.00934,             0.00934
                  22,             0.14238,           0.0035059,                   0,           0.0011066,              0.1978,           0.0019809,           0.0003798,             0.13582,           0.0022007,                   0,            0.009307,            0.009307,            0.009307
                  23,             0.14083,           0.0034906,                   0,            0.007284,             0.28571,           0.0056632,           0.0013259,             0.12911,           0.0022942,                   0,            0.009274,            0.009274,            0.009274
