               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10471,             0.02529,                   0,           0.0010616,               0.125,          0.00061612,          0.00012322,            0.070577,           0.0075493,                   0,              0.0919,              0.0009,              0.0009
                   1,            0.089484,            0.027132,                   0,            0.012051,               0.125,           0.0079249,          0.00090764,            0.059674,           0.0063262,                   0,            0.082862,           0.0018624,           0.0018624
                   2,            0.075427,            0.026365,                   0,             0.13691,                0.25,            0.056947,           0.0073807,            0.049455,           0.0058297,                   0,            0.073785,           0.0027852,           0.0027852
                   3,            0.060583,             0.02021,                   0,            0.073961,                0.25,            0.053517,            0.013855,            0.043553,           0.0064701,                   0,            0.064668,           0.0036683,           0.0036683
                   4,             0.06466,            0.018767,                   0,             0.39487,                0.75,              0.3668,            0.065111,            0.036617,           0.0086762,                   0,            0.055512,           0.0045119,           0.0045119
                   5,            0.055802,            0.019146,                   0,             0.34625,               0.625,             0.33429,            0.073125,            0.033114,            0.013046,                   0,            0.046316,           0.0053159,           0.0053159
                   6,            0.059473,             0.02081,                   0,             0.34625,               0.625,             0.33429,            0.073125,            0.033114,            0.013046,                   0,             0.03708,           0.0060803,           0.0060803
                   7,            0.054606,            0.016896,                   0,              0.3976,                0.75,             0.53294,             0.10197,             0.03015,            0.015929,                   0,            0.027805,           0.0068051,           0.0068051
                   8,             0.05227,            0.017645,                   0,              0.4515,                0.75,             0.51396,             0.10676,            0.028611,            0.017764,                   0,             0.01849,           0.0074902,           0.0074902
                   9,            0.050715,            0.012532,                   0,              0.4515,                0.75,             0.51396,             0.10676,            0.028611,            0.017764,                   0,           0.0091358,           0.0081358,           0.0081358
                  10,            0.045407,            0.013582,                   0,             0.42625,                 0.5,              0.4675,              0.1212,            0.027571,            0.014862,                   0,             0.00802,             0.00802,             0.00802
                  11,            0.050437,            0.015797,                   0,             0.41413,               0.625,             0.55784,              0.1842,            0.026589,            0.013196,                   0,             0.00802,             0.00802,             0.00802
                  12,             0.04673,            0.015173,                   0,             0.41413,               0.625,             0.55784,              0.1842,            0.026589,            0.013196,                   0,            0.007822,            0.007822,            0.007822
                  13,             0.04181,            0.017702,                   0,             0.43622,             0.67947,             0.66881,              0.1888,             0.02571,             0.01081,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.048876,            0.015706,                   0,             0.40262,               0.625,              0.6161,             0.17488,            0.025282,           0.0070074,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.051208,            0.015844,                   0,             0.40262,               0.625,              0.6161,             0.17488,            0.025282,           0.0070074,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.043787,            0.015596,                   0,             0.34551,                 0.5,             0.39689,              0.1192,            0.032523,           0.0080197,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.050441,            0.016743,                   0,             0.34551,                 0.5,             0.39689,              0.1192,            0.032523,           0.0080197,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.048573,            0.019321,                   0,             0.20324,                 0.5,             0.18585,            0.039753,            0.043197,           0.0081404,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.051172,              0.0158,                   0,             0.24112,               0.625,             0.40923,             0.13782,            0.029163,           0.0051589,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.051937,            0.017584,                   0,             0.24112,               0.625,             0.40923,             0.13782,            0.029163,           0.0051589,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.048829,            0.018127,                   0,             0.25288,               0.625,             0.54629,             0.14466,            0.028052,           0.0045382,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.048161,            0.013829,                   0,             0.23442,             0.53724,             0.39018,              0.1257,            0.027907,           0.0045638,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.045244,            0.017324,                   0,             0.23442,             0.53724,             0.39018,              0.1257,            0.027907,           0.0045638,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.048659,            0.016549,                   0,               0.252,               0.375,             0.18761,            0.071702,            0.029583,           0.0046099,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.043684,             0.01792,                   0,               0.252,               0.375,             0.18761,            0.071702,            0.029583,           0.0046099,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.047175,            0.017389,                   0,             0.25525,             0.38638,             0.21908,            0.057676,            0.031104,           0.0045265,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.042366,            0.016338,                   0,             0.37232,                 0.5,             0.36314,             0.12982,            0.026307,            0.004253,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.043705,            0.016357,                   0,             0.37232,                 0.5,             0.36314,             0.12982,            0.026307,            0.004253,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.038211,            0.016116,                   0,             0.38811,               0.625,             0.48124,             0.14406,             0.02672,           0.0043318,                   0,            0.004456,            0.004456,            0.004456
