               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096794,            0.060079,                   0,           0.0021009,             0.17517,           0.0013155,          0.00031316,            0.084658,            0.044526,                   0,            0.070337,           0.0032959,           0.0032959
                   1,            0.090428,            0.058593,                   0,           0.0035567,             0.29655,            0.002403,          0.00049025,            0.083481,            0.045109,                   0,            0.040271,           0.0065636,           0.0065636
                   2,            0.089514,            0.060913,                   0,           0.0031596,             0.26345,           0.0028324,          0.00057077,            0.082354,            0.044441,                   0,             0.01014,           0.0097653,           0.0097653
                   3,            0.086605,            0.060485,                   0,           0.0061097,             0.40138,           0.0086466,            0.001957,            0.087962,             0.04552,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.080783,            0.055068,                   0,             0.12106,             0.17517,            0.063526,            0.018894,            0.073888,            0.039895,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.071099,            0.051238,                   0,              0.2372,             0.31793,             0.17539,            0.066109,            0.064621,            0.042716,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.064838,            0.049762,                   0,             0.43491,             0.38759,             0.36964,             0.15391,            0.057413,            0.035352,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.059647,            0.046921,                   0,             0.38389,             0.37517,             0.32748,             0.12185,            0.055936,            0.035841,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.056536,            0.044477,                   0,             0.56591,             0.51517,              0.5325,             0.24832,            0.049637,            0.030983,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.053987,            0.044461,                   0,             0.53984,             0.46759,             0.46769,             0.19033,            0.054987,            0.031975,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.053786,            0.042904,                   0,             0.61487,             0.47862,             0.52705,              0.2266,            0.053009,            0.029914,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.051857,            0.041006,                   0,             0.62623,             0.56759,             0.60438,             0.26498,            0.049224,             0.02904,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.050179,            0.040512,                   0,             0.67051,              0.5331,             0.59816,             0.28891,            0.047866,            0.029853,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.049154,            0.040614,                   0,             0.64035,              0.5931,             0.63695,             0.31588,            0.045171,            0.028841,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.048549,            0.039546,                   0,             0.65464,             0.57172,             0.63614,             0.32144,             0.04501,            0.027905,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.047435,            0.039178,                   0,             0.67547,             0.62276,             0.68344,             0.31853,             0.04251,            0.026942,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.046907,            0.039872,                   0,             0.68685,             0.58276,             0.66002,             0.34477,            0.043036,            0.027755,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.045373,            0.039079,                   0,             0.70429,             0.62746,             0.70686,             0.33791,            0.042981,             0.02566,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.045743,            0.037359,                   0,             0.69961,             0.64828,              0.7151,             0.37135,            0.041628,            0.027189,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.045868,            0.038128,                   0,             0.69746,             0.59586,              0.6875,             0.35601,            0.041842,            0.027537,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.044334,            0.036568,                   0,             0.66308,             0.63172,             0.68279,             0.36368,            0.041889,            0.027547,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.044176,            0.038506,                   0,              0.7302,              0.6794,             0.74354,             0.38338,            0.041648,            0.026051,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.044119,            0.037233,                   0,             0.70089,             0.67241,             0.72524,             0.38866,            0.039863,            0.026063,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.043479,            0.036191,                   0,             0.68733,             0.65492,             0.72128,              0.3425,            0.042559,            0.026152,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.042609,            0.036612,                   0,              0.6751,             0.63931,             0.70566,             0.35322,            0.042171,            0.026158,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.042164,            0.036741,                   0,             0.70611,             0.67275,             0.74322,               0.399,            0.039802,             0.02517,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.042626,            0.037594,                   0,             0.73142,              0.6669,             0.74681,             0.37995,            0.040325,              0.0259,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.041789,            0.036102,                   0,              0.7441,             0.67172,             0.75179,              0.4075,            0.039416,             0.02493,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.042076,            0.036538,                   0,             0.72818,             0.66142,              0.7454,             0.39348,            0.039929,            0.025543,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.041295,            0.036137,                   0,             0.69596,             0.67379,             0.73033,             0.38983,            0.040224,            0.025736,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.041395,            0.034489,                   0,              0.7387,             0.66484,             0.74687,             0.38507,            0.040465,             0.02484,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.041106,             0.03563,                   0,             0.74936,             0.66189,             0.75648,             0.40689,            0.039067,            0.024709,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.041107,            0.034468,                   0,             0.75673,             0.65793,             0.76025,             0.42553,            0.038122,            0.024712,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.040372,            0.035694,                   0,             0.73707,             0.70483,              0.7813,             0.43149,            0.037811,            0.023862,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.040021,            0.035134,                   0,             0.76227,             0.69658,             0.77069,             0.42044,            0.038394,            0.024544,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.039663,            0.035292,                   0,             0.71418,             0.66516,              0.7416,             0.40004,            0.039825,            0.025149,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.039554,             0.03379,                   0,             0.73417,             0.68966,               0.776,             0.42323,            0.038876,            0.023898,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.039438,            0.032544,                   0,             0.74798,             0.68138,             0.76457,             0.41833,             0.03821,            0.025329,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.039396,            0.035163,                   0,             0.74332,             0.68104,             0.75457,             0.41249,            0.039225,            0.024914,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.039248,            0.032341,                   0,             0.74977,             0.66483,             0.75499,             0.41497,            0.038952,            0.025361,                   0,            0.006238,            0.006238,            0.006238
