               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1767,           0.0042146,                   0,          0.00076923,             0.23077,           0.0005448,          0.00025386,             0.15265,           0.0025706,                   0,              0.0766,              0.0026,              0.0026
                   1,             0.17285,            0.004178,                   0,          0.00051282,             0.15385,           0.0003428,          0.00019834,             0.15227,           0.0024639,                   0,            0.052283,           0.0052825,           0.0052825
                   2,              0.1673,           0.0042325,                   0,          0.00032967,            0.098901,          0.00059886,          0.00030239,             0.15278,           0.0024011,                   0,            0.027947,           0.0079472,           0.0079472
                   3,             0.16255,           0.0042062,                   0,          0.00021978,            0.065934,          0.00022038,          4.6011e-05,             0.15394,           0.0022295,                   0,            0.009901,            0.009901,            0.009901
                   4,             0.16054,           0.0041144,                   0,           3.663e-05,            0.010989,          1.9149e-05,          1.3405e-05,             0.15446,           0.0020684,                   0,            0.009901,            0.009901,            0.009901
                   5,             0.15673,           0.0040458,                   0,           3.663e-05,            0.010989,          1.9123e-05,           5.737e-06,             0.15424,           0.0018967,                   0,            0.009868,            0.009868,            0.009868
                   6,             0.15491,           0.0039445,                   0,           3.663e-05,            0.010989,          1.9395e-05,          1.9395e-06,             0.15299,           0.0018915,                   0,            0.009835,            0.009835,            0.009835
                   7,             0.15358,           0.0039183,                   0,                   0,                   0,                   0,                   0,             0.15229,           0.0016533,                   0,            0.009802,            0.009802,            0.009802
                   8,             0.15202,           0.0037331,                   0,                   0,                   0,                   0,                   0,             0.14732,           0.0018588,                   0,            0.009769,            0.009769,            0.009769
                   9,              0.1512,           0.0036652,                   0,                   0,                   0,                   0,                   0,             0.14406,           0.0021769,                   0,            0.009736,            0.009736,            0.009736
                  10,             0.15025,           0.0036978,                   0,                   0,                   0,                   0,                   0,             0.14349,           0.0022262,                   0,            0.009703,            0.009703,            0.009703
                  11,             0.14884,           0.0035635,                   0,           7.326e-05,            0.021978,          3.7924e-05,          5.6587e-06,             0.14229,           0.0022846,                   0,             0.00967,             0.00967,             0.00967
                  12,              0.1482,           0.0035923,                   0,                   0,                   0,                   0,                   0,             0.14167,           0.0023223,                   0,            0.009637,            0.009637,            0.009637
                  13,             0.14845,           0.0035982,                   0,                   0,                   0,                   0,                   0,             0.14157,           0.0023435,                   0,            0.009604,            0.009604,            0.009604
                  14,              0.1477,           0.0037588,                   0,                   0,                   0,                   0,                   0,             0.14184,           0.0022922,                   0,            0.009571,            0.009571,            0.009571
                  15,             0.14656,           0.0035161,                   0,                   0,                   0,                   0,                   0,             0.14162,           0.0022979,                   0,            0.009538,            0.009538,            0.009538
                  16,             0.14709,           0.0035655,                   0,                   0,                   0,                   0,                   0,             0.14206,           0.0022287,                   0,            0.009505,            0.009505,            0.009505
                  17,             0.14702,           0.0034451,                   0,                   0,                   0,                   0,                   0,             0.14216,           0.0021639,                   0,            0.009472,            0.009472,            0.009472
                  18,             0.14709,           0.0034239,                   0,                   0,                   0,                   0,                   0,             0.14212,           0.0020922,                   0,            0.009439,            0.009439,            0.009439
                  19,             0.14673,           0.0035499,                   0,                   0,                   0,                   0,                   0,             0.14134,           0.0021085,                   0,            0.009406,            0.009406,            0.009406
                  20,             0.14674,           0.0035023,                   0,                   0,                   0,                   0,                   0,             0.14106,           0.0020649,                   0,            0.009373,            0.009373,            0.009373
                  21,              0.1474,           0.0032026,                   0,           3.663e-05,            0.010989,          1.8679e-05,          1.8679e-06,             0.14148,           0.0020018,                   0,             0.00934,             0.00934,             0.00934
                  22,              0.1476,           0.0032697,                   0,           3.663e-05,            0.010989,          1.9247e-05,          1.9247e-06,              0.1424,           0.0019124,                   0,            0.009307,            0.009307,            0.009307
